'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.387','9.407','9.423','9.441','9.459','9.485','9.515','9.555','9.589','9.611','9.633','9.652','9.666','9.688','9.689','9.687','9.688','9.693','9.703','9.717','9.734','9.746','9.744','9.742','9.611'
'    2','9.738','9.730','9.719','9.712','9.720','9.724','9.724','9.724','9.714','9.700','9.690','9.670','9.650','9.614','9.596','9.560','9.559','9.542','9.518','9.493','9.448','9.434','9.407','9.388','9.616'
'    3','9.352','9.317','9.298','9.277','9.277','9.289','9.291','9.278','9.271','9.278','9.277','9.277','9.267','9.271','9.265','9.253','9.254','9.244','9.251','9.261','9.281','9.285','9.285','9.285','9.278'
'    4','9.288','9.288','9.288','9.291','9.304','9.315','9.322','9.332','9.336','9.348','9.352','9.364','9.368','9.382','9.392','9.412','9.425','9.444','9.464','9.484','9.506','9.516','9.531','9.546','9.387'
'    5','9.553','9.563','9.574','9.590','9.598','9.627','9.646','9.648','9.654','9.669','9.668','9.688','9.698','9.697','9.716','9.712','9.720','9.738','9.751','9.766','9.780','9.800','9.818','9.834','9.688'
'    6','9.850','9.876','9.896','9.920','9.948','9.988','0.018','0.052','0.080','0.110','0.123','0.146','0.154','0.174','0.190','0.210','0.218','0.234','0.255','0.276','0.290','0.303','0.312','0.316','0.122'
'    7','0.312','0.301','0.304','0.292','0.294','0.286','0.274','0.267','0.246','0.237','0.210','0.188','0.162','0.154','0.142','0.126','0.126','0.110','0.110','0.104','0.100','0.082','0.062','0.048','0.189'
'    8','0.024','0.016','0.007','9.992','9.999','0.006','9.993','9.982','9.980','9.974','9.975','9.961','9.949','9.941','9.925','9.929','9.929','9.925','9.931','9.935','9.945','9.945','9.951','9.943','9.965'
'    9','9.941','9.941','9.932','9.924','9.931','9.939','9.951','9.955','9.964','9.971','9.976','9.986','9.976','9.976','9.976','9.966','9.965','9.963','9.970','9.972','9.971','9.968','9.968','9.959','9.960'
'   10','9.945','9.929','9.910','9.892','9.885','9.857','9.840','9.797','9.768','9.724','9.686','9.649','9.611','9.558','9.507','9.452','9.398','9.353','9.302','9.283','9.258','9.224','9.164','9.112','9.588'
'   11','9.055','9.001','8.953','8.937','8.923','8.908','8.909','8.915','8.911','8.907','8.936','8.980','9.013','9.035','9.060','9.078','9.113','9.132','9.145','9.176','9.202','9.238','9.250','9.258','9.043'
'   12','9.269','9.277','9.287','9.303','9.323','9.343','9.351','9.359','9.377','9.371','9.375','9.393','9.393','9.403','9.411','9.440','9.445','9.465','9.475','9.493','9.501','9.501','9.507','9.516','9.399'
'   13','9.513','9.515','9.513','9.509','9.514','9.521','9.529','9.539','9.542','9.544','9.546','9.543','9.545','9.556','9.551','9.562','9.567','9.577','9.585','9.598','9.611','9.627','9.638','9.641','9.558'
