'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.197','9.191','9.187','9.171','9.149','9.131','9.111','9.091','9.075','9.062','9.036','8.994','8.962','8.926','8.894','8.866','8.852','8.822','8.792','8.778','8.742','8.722','8.700','8.656','8.963'
'    2','8.626','8.590','8.578','8.580','8.572','8.552','8.554','8.570','8.606','8.643','8.673','8.721','8.781','8.828','8.880','8.945','8.998','9.061','9.116','9.172','9.222','9.278','9.325','9.368','8.843'
'    3','9.405','9.457','9.501','9.537','9.573','9.597','9.623','9.647','9.673','9.675','9.676','9.657','9.637','9.614','9.578','9.570','9.515','9.512','9.506','9.510','9.508','9.550','9.600','9.609','9.572'
'    4','9.650','9.669','9.696','9.704','9.714','9.712','9.710','9.711','9.693','9.676','9.611','9.545','9.507','9.489','9.485','9.504','9.485','9.459','9.485','9.545','9.644','9.717','9.775','9.819','9.625'
'    5','9.846','9.862','9.874','9.864','9.858','9.830','9.826','9.907','9.973','0.032','0.059','0.079','0.087','0.117','0.133','0.187','0.207','0.230','0.252','0.275','0.277','0.279','0.266','0.250','0.065'
'    6','0.227','0.219','0.199','0.141','0.089','0.015','9.977','9.939','9.863','9.799','9.771','9.783','9.805','9.885','9.905','9.921','9.937','9.941','9.939','9.945','9.964','9.969','9.965','9.965','9.965'
'    7','9.953','9.947','9.946','9.921','9.911','9.895','9.880','9.871','9.871','9.861','9.850','9.820','9.788','9.756','9.738','9.717','9.700','9.680','9.662','9.653','9.642','9.650','9.647','9.646','9.792'
'    8','9.645','9.639','9.621','9.607','9.600','9.586','9.586','9.599','9.605','9.598','9.596','9.590','9.576','9.560','9.538','9.515','9.491','9.480','9.469','9.456','9.451','9.430','9.390','9.370','9.542'
'    9','9.332','9.317','9.301','9.279','9.270','9.287','9.301','9.316','9.339','9.348','9.349','9.329','9.317','9.293','9.266','9.249','9.233','9.205','9.195','9.155','9.147','9.130','9.106','9.081','9.256'
'   10','9.061','9.037','9.007','8.993','8.969','8.964','8.969','8.981','8.981','8.991','9.008','9.000','9.016','9.024','9.044','9.052','9.066','9.090','9.106','9.124','9.132','9.149','9.149','9.142','9.044'
'   11','9.138','9.146','9.151','9.151','9.150','9.150','9.154','9.158','9.177','9.188','9.180','9.159','9.141','9.150','9.159','9.165','9.166','9.182','9.196','9.214','9.228','9.236','9.243','9.236','9.176'
'   12','9.230','9.218','9.194','9.144','9.084','9.024','8.956','8.886','8.792','8.712','8.655','8.623','8.606','8.603','8.631','8.713','8.795','8.906','9.015','9.103','9.180','9.239','9.291','9.331','8.955'
'   13','9.366','9.402','9.414','9.420','9.428','9.432','9.430','9.427','9.424','9.397','9.404','9.388','9.368','9.375','9.380','9.381','9.388','9.402','9.419','9.412','9.434','9.458','9.471','9.495','9.413'
'   14','9.508','9.526','9.538','9.554','9.574','9.591','9.618','9.649','9.668','9.681','9.692','9.689','9.679','9.673','9.657','9.653','9.653','9.649','9.657','9.667','9.679','9.687','9.699','9.717','9.640'
'   15','9.723','9.739','9.735','9.723','9.732','9.727','9.720','9.699','9.660','9.630','9.618','9.590','9.536','9.510','9.480','9.446','9.360','9.307','9.267','9.200','9.162','9.137','9.085','9.076','9.494'
'   16','9.036','9.029','9.003','8.963','8.931','8.936','8.923','8.927','8.926','8.955','8.977','8.987','9.017','9.051','9.085','9.143','9.191','9.245','9.299','9.368','9.431','9.483','9.527','9.582','9.126'
'   17','9.630','9.656','9.702','9.722','9.742','9.769','9.791','9.812','9.838','9.854','9.858','9.866','9.856','9.856','9.858','9.854','9.852','9.838','9.830','9.819','9.796','9.776','9.735','9.708','9.792'
'   18','9.655','9.608','9.580','9.560','9.506','9.447','9.410','9.392','9.367','9.343','9.316','9.280','9.248','9.216','9.187','9.156','9.124','9.116','9.096','9.092','9.104','9.122','9.144','9.156','9.301'
'   19','9.155','9.149','9.143','9.126','9.110','9.093','9.085','9.103','9.100','9.114','9.135','9.150','9.154','9.156','9.166','9.162','9.156','9.138','9.128','9.120','9.123','9.094','9.080','9.062','9.125'
'   20','9.045','9.026','9.044','9.096','9.162','9.201','9.241','9.278','9.303','9.320','9.351','9.349','9.337','9.331','9.327','9.325','9.318','9.307','9.281','9.268','9.253','9.219','9.176','9.149','9.238'
'   21','9.127','9.083','9.053','9.017','8.965','8.959','8.938','8.947','8.961','8.955','8.968','8.968','8.960','8.949','8.946','8.954','8.958','8.964','8.964','8.960','8.952','8.941','8.936','8.926','8.973'
