'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.635','9.611','9.591','9.571','9.559','9.545','9.527','9.512','9.497','9.483','9.463','9.445','9.431','9.419','9.407','9.400','9.381','9.375','9.375','9.374','9.364','9.351','9.327','9.316','9.457'
'    2','9.275','9.255','9.240','9.227','9.227','9.257','9.289','9.329','9.369','9.401','9.422','9.444','9.460','9.478','9.488','9.506','9.510','9.542','9.542','9.552','9.546','9.547','9.549','9.546','9.417'
'    3','9.511','9.545','9.543','9.539','9.531','9.537','9.537','9.543','9.543','9.542','9.542','9.536','9.550','9.565','9.577','9.582','9.589','9.630','9.630','9.658','9.676','9.690','9.702','9.713','9.584'
'    4','9.722','9.728','9.732','9.739','9.745','9.757','9.762','9.772','9.780','9.782','9.780','9.780','9.774','9.768','9.764','9.768','9.776','9.744','9.744','9.750','9.742','9.736','9.720','9.712','9.753'
'    5','9.681','9.681','9.663','9.654','9.643','9.625','9.615','9.607','9.583','9.568','9.551','9.544','9.539','9.521','9.510','9.493','9.493','9.507','9.507','9.511','9.518','9.525','9.516','9.504','9.565'
'    6','9.499','9.496','9.489','9.476','9.465','9.453','9.445','9.439','9.424','9.414','9.396','9.372','9.350','9.357','9.340','9.339','9.328','9.328','9.328','9.344','9.346','9.350','9.358','9.356','9.395'
'    7','9.367','9.388','9.399','9.412','9.437','9.473','9.493','9.514','9.513','9.535','9.559','9.571','9.583','9.601','9.614','9.629','9.643','9.679','9.679','9.707','9.729','9.753','9.771','9.785','9.576'
'    8','9.794','9.814','9.822','9.838','9.854','9.874','9.892','9.910','9.922','9.941','9.939','9.944','9.946','9.952','9.944','9.944','9.941','9.946','9.946','9.950','9.950','9.950','9.938','9.934','9.912'
'    9','9.919','9.911','9.895','9.881','9.860','9.847','9.829','9.815','9.797','9.777','9.761','9.759','9.747','9.745','9.741','9.733','9.731','9.739','9.739','9.761','9.771','9.788','9.804','9.815','9.799'
'   10','9.826','9.838','9.856','9.878','9.902','9.930','9.952','9.980','9.998','0.008','0.020','0.032','0.044','0.060','0.074','0.097','0.116','0.162','0.162','0.188','0.194','0.213','0.224','0.238','0.041'
'   11','0.241','0.245','0.257','0.263','0.263','0.266','0.265','0.269','0.264','0.259','0.258','0.230','0.218','0.210','0.182','0.169','0.138','0.106','0.106','0.085','0.078','0.074','0.064','0.061','0.190'
'   12','0.067','0.073','0.083','0.093','0.107','0.117','0.135','0.151','0.163','0.175','0.186','0.201','0.218','0.232','0.228','0.236','0.232','0.239','0.239','0.248','0.256','0.268','0.282','0.282','0.188'
'   13','0.289','0.289','0.291','0.289','0.297','0.303','0.317','0.317','0.329','0.336','0.345','0.343','0.349','0.349','0.349','0.351','0.359','0.369','0.369','0.373','0.387','0.391','0.385','0.392','0.340'
'   14','0.387','0.385','0.384','0.385','0.383','0.381','0.381','0.385','0.389','0.387','0.381','0.377','0.373','0.364','0.355','0.344','0.335','0.343','0.343','0.343','0.345','0.345','0.343','0.341','0.366'
'   15','0.328','0.322','0.316','0.312','0.304','0.296','0.282','0.276','0.266','0.248','0.236','0.218','0.208','0.194','0.180','0.172','0.157','0.134','0.134','0.134','0.140','0.140','0.134','0.124','0.219'
'   16','0.110','0.110','0.108','0.110','0.114','0.120','0.126','0.132','0.128','0.126','0.108','0.094','0.090','0.094','0.100','0.104','0.094','0.088','0.088','0.080','0.080','0.074','0.066','0.048','0.100'
'   17','0.032','0.020','0.012','0.016','0.022','0.000','0.010','0.014','0.014','0.012','0.001','9.997','9.993','9.999','0.003','9.997','9.999','0.009','0.009','0.015','0.013','0.016','0.025','0.027','0.011'
'   18','0.021','0.025','0.026','0.027','0.031','0.045','0.041','0.051','0.065','0.067','0.052','0.054','0.050','0.048','0.040','0.038','0.038','0.050','0.050','0.058','0.062','0.063','0.066','0.064','0.047'
