"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'0.020','0.035','0.061','0.084','0.108','0.126','0.144','0.168','0.188','0.228','0.230','0.237','0.238','0.248','0.245','0.257','0.261','0.282','0.317','0.334','0.359','0.362','0.373','0.381','0.220',
"2",'0.388','0.396','0.397','0.396','0.414','0.421','0.428','0.433','0.433','0.430','0.416','0.412','0.381','0.363','0.352','0.343','0.328','0.330','0.307','0.294','0.271','0.253','0.235','0.223','0.360',
"3",'0.207','0.185','0.175','0.178','0.151','0.141','0.137','0.135','0.135','0.144','0.145','0.141','0.126','0.121','0.123','0.122','0.126','0.131','0.141','0.155','0.155','0.148','0.147','0.149','0.147',
"4",'0.153','0.155','0.149','0.146','0.145','0.145','0.148','0.154','0.160','0.165','0.168','0.165','0.168','0.166','0.167','0.170','0.189','0.205','0.225','0.237','0.249','0.258','0.261','0.279','0.184',
"5",'0.279','0.288','0.289','0.293','0.294','0.300','0.312','0.324','0.328','0.328','0.315','0.314','0.302','0.292','0.284','0.282','0.282','0.288','0.295','0.295','0.286','0.270','0.267','0.268','0.295',
"6",'0.260','0.251','0.236','0.224','0.212','0.216','0.213','0.205','0.193','0.178','0.158','0.138','0.111','0.082','0.054','0.029','0.017','0.007','9.994','9.988','9.974','9.957','9.942','9.925','0.107',
"7",'9.900','9.874','9.852','9.839','9.823','9.818','9.814','9.814','9.797','9.785','9.779','9.755','9.745','9.729','9.713','9.701','9.683','9.685','9.683','9.697','9.697','9.687','9.683','9.677','9.760',
"8",'9.669','9.655','9.645','9.645','9.643','9.649','9.661','9.679','9.687','9.699','9.699','9.707','9.711','9.713','9.723','9.731','9.748','9.769','9.795','9.809','9.821','9.837','9.853','9.865','9.726',
"9",'9.891','9.911','9.923','9.945','9.966','9.995','0.015','0.051','0.075','0.097','0.110','0.117','0.128','0.142','0.156','0.174','0.198','0.228','0.250','0.278','0.298','0.318','0.330','0.342','0.122',
"10",'0.347','0.363','0.369','0.375','0.381','0.395','0.407','0.419','0.421','0.417','0.405','0.405','0.387','0.373','0.365','0.361','0.363','0.373','0.379','0.385','0.385','0.389','0.383','0.383','0.385',
"11",'0.378','0.374','0.358','0.352','0.352','0.352','0.352','0.346','0.342','0.340','0.339','0.331','0.321','0.313','0.305','0.289','0.285','0.287','0.289','0.285','0.281','0.265','0.257','0.259','0.319',
"12",'0.248','0.232','0.212','0.192','0.175','0.158','0.149','0.142','0.124','0.112','0.085','0.058','0.035','0.007','9.969','9.935','9.889','9.869','9.855','9.829','9.802','9.765','9.715','9.667','0.009',
"13",'9.642','9.618','9.560','9.530','9.504','9.500','9.502','9.504','9.508','9.508','9.509','9.519','9.511','9.515','9.523','9.531','9.539','9.567','9.573','9.583','9.595','9.599','9.599','9.615','9.548',
"14",'9.627','9.637','9.641','9.650','9.657','9.667','9.682','9.693','9.703','9.707','9.717','9.725','9.727','9.729','9.752','9.759','9.783','9.817','9.832','9.861','9.869','9.895','9.909','9.918','9.748',
"15",'9.931','9.929','9.935','9.939','9.943','9.959','9.969','9.973','9.977','9.973','9.963','9.943','9.937','9.925','9.907','9.903','9.883','9.877','9.871','9.867','9.855','9.843','9.825','9.815','9.914',
"16",'9.803','9.789','9.775','9.767','9.761','9.763','9.763','9.769','9.775','9.775','9.775','9.763','9.747','9.731','9.713','9.697','9.691','9.695','9.683','9.681','9.677','9.673','9.655','9.641','9.732',
"17",'9.633','9.631','9.609','9.613','9.611','9.629','9.636','9.625','9.639','9.651','9.661','9.691','9.692','9.709','9.717','9.723','9.737','9.763','9.775','9.787','9.793','9.809','9.811','9.821','9.699',
"18",'9.827','9.831','9.819','9.813','9.811','9.817','9.823','9.807','9.785','9.773','9.768','9.764','9.746','9.737','9.722','9.718','9.722','9.738','9.744','9.758','9.770','9.788','9.788','9.802','9.778',
"19",'9.811','9.819','9.809','9.799','9.773','9.771','9.755','9.745','9.721','9.729','9.720','9.724','9.708','9.704','9.700','9.711','9.730','9.764','9.784','9.790','9.794','9.810','9.806','9.830','9.763',
