'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.202','0.201','0.187','0.183','0.187','0.193','0.193','0.189','0.197','0.197','0.189','0.187','0.179','0.163','0.157','0.159','0.155','0.149','0.141','0.133','0.133','0.135','0.111','0.095','0.167'
'    2','0.055','0.016','9.975','9.950','9.905','9.872','9.858','9.868','9.863','9.888','9.909','9.943','9.975','0.001','0.015','0.025','0.038','0.048','0.067','0.079','0.085','0.095','0.101','0.103','9.989'
'    3','0.101','0.101','0.101','0.110','0.123','0.141','0.165','0.187','0.193','0.215','0.228','0.238','0.250','0.264','0.284','0.288','0.296','0.310','0.318','0.339','0.348','0.350','0.358','0.359','0.236'
'    4','0.369','0.379','0.377','0.384','0.379','0.385','0.387','0.389','0.381','0.369','0.355','0.344','0.338','0.322','0.319','0.296','0.284','0.284','0.286','0.290','0.290','0.294','0.286','0.280','0.336'
'    5','0.276','0.249','0.241','0.225','0.221','0.221','0.213','0.220','0.217','0.215','0.209','0.203','0.199','0.193','0.178','0.157','0.148','0.139','0.143','0.139','0.127','0.127','0.135','0.132','0.189'
'    6','0.122','0.108','0.104','0.092','0.080','0.080','0.080','0.073','0.060','0.048','0.025','0.015','9.991','9.965','9.941','9.925','9.912','9.911','9.911','9.923','9.923','9.915','9.919','9.929','0.002'
'    7','9.920','9.922','9.918','9.918','9.916','9.918','9.922','9.926','9.926','9.932','9.929','9.925','9.921','9.909','9.904','9.893','9.887','9.877','9.889','9.887','9.893','9.895','9.889','9.887','9.908'
'    8','9.879','9.879','9.855','9.845','9.853','9.855','9.859','9.853','9.881','9.875','9.888','9.903','9.917','9.915','9.911','9.914','9.911','9.915','9.927','9.925','9.918','9.904','9.892','9.887','9.890'
'    9','9.865','9.848','9.839','9.825','9.802','9.799','9.801','9.799','9.802','9.807','9.801','9.803','9.809','9.811','9.807','9.815','9.801','9.793','9.797','9.794','9.779','9.785','9.771','9.759','9.805'
'   10','9.747','9.729','9.711','9.717','9.701','9.694','9.703','9.717','9.719','9.750','9.753','9.753','9.767','9.771','9.777','9.785','9.785','9.783','9.797','9.807','9.803','9.791','9.786','9.773','9.755'
'   11','9.757','9.749','9.723','9.706','9.706','9.709','9.705','9.705','9.711','9.709','9.701','9.693','9.689','9.671','9.639','9.625','9.617','9.619','9.659','9.702','9.716','9.737','9.753','9.767','9.699'
'   12','9.790','9.824','9.831','9.851','9.870','9.883','9.902','9.922','9.918','9.926','9.924','9.934','9.942','9.950','9.938','9.936','9.939','9.950','9.942','9.934','9.926','9.915','9.907','9.904','9.907'
'   13','9.901','9.885','9.862','9.843','9.831','9.833','9.829','9.825','9.817','9.809','9.810','9.813','9.824','9.838','9.854','9.860','9.868','9.878','9.870','9.886','9.886','9.883','9.840','9.820','9.849'
'   14','9.806','9.790','9.782','9.778','9.786','9.808','9.825','9.872','9.902','9.937','9.953','9.977','0.017','0.037','0.054','0.093','0.109','0.133','0.141','0.166','0.181','0.189','0.209','0.209','9.990'
'   15','0.207','0.223','0.221','0.223','0.215','0.214','0.215','0.233','0.234','0.239','0.251','0.247','0.253','0.261','0.261','0.249','0.243','0.243','0.245','0.243','0.239','0.239','0.233','0.219','0.235'
'   16','0.203','0.189','0.176','0.165','0.149','0.139','0.139','0.137','0.126','0.107','0.094','0.069','0.039','0.013','9.987','9.969','9.967','9.965','9.961','9.961','9.945','9.939','9.926','9.905','0.053'
