'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.393','0.415','0.415','0.421','0.433','0.441','0.461','0.474','0.487','0.502','0.504','0.514','0.498','0.509','0.505','0.508','0.513','0.525','0.522','0.540','0.529','0.532','0.532','0.544','0.488'
'    2','0.532','0.525','0.513','0.498','0.501','0.487','0.485','0.488','0.479','0.472','0.453','0.436','0.416','0.382','0.356','0.345','0.330','0.324','0.314','0.312','0.306','0.312','0.306','0.298','0.411'
'    3','0.300','0.291','0.274','0.270','0.268','0.262','0.262','0.278','0.286','0.284','0.285','0.285','0.275','0.273','0.267','0.279','0.293','0.299','0.299','0.295','0.297','0.309','0.311','0.313','0.286'
'    4','0.311','0.323','0.320','0.319','0.317','0.325','0.329','0.339','0.337','0.331','0.316','0.302','0.297','0.278','0.264','0.263','0.262','0.273','0.275','0.282','0.285','0.293','0.289','0.299','0.301'
'    5','0.298','0.293','0.280','0.283','0.283','0.287','0.293','0.306','0.312','0.316','0.312','0.324','0.319','0.315','0.309','0.306','0.308','0.322','0.329','0.342','0.346','0.357','0.360','0.373','0.316'
'    6','0.371','0.371','0.360','0.350','0.340','0.339','0.347','0.359','0.356','0.355','0.359','0.360','0.353','0.340','0.325','0.320','0.317','0.325','0.327','0.330','0.340','0.336','0.340','0.340','0.344'
'    7','0.338','0.336','0.329','0.326','0.326','0.325','0.325','0.332','0.330','0.326','0.320','0.312','0.301','0.290','0.282','0.277','0.271','0.269','0.268','0.262','0.265','0.269','0.262','0.267','0.300'
'    8','0.269','0.271','0.261','0.265','0.254','0.246','0.257','0.269','0.273','0.271','0.271','0.265','0.255','0.250','0.239','0.243','0.237','0.241','0.243','0.249','0.251','0.257','0.259','0.259','0.256'
'    9','0.252','0.244','0.231','0.233','0.222','0.236','0.233','0.245','0.248','0.251','0.258','0.246','0.237','0.239','0.239','0.242','0.246','0.255','0.262','0.280','0.279','0.287','0.290','0.298','0.252'
'   10','0.298','0.294','0.288','0.290','0.294','0.303','0.306','0.318','0.326','0.328','0.321','0.308','0.292','0.276','0.256','0.243','0.243','0.249','0.253','0.269','0.273','0.276','0.277','0.274','0.286'
'   11','0.259','0.263','0.247','0.243','0.247','0.249','0.250','0.261','0.260','0.260','0.262','0.267','0.257','0.265','0.258','0.265','0.267','0.284','0.306','0.321','0.328','0.343','0.354','0.364','0.278'
'   12','0.377','0.385','0.387','0.395','0.394','0.398','0.400','0.419','0.423','0.419','0.434','0.448','0.434','0.414','0.409','0.388','0.404','0.396','0.396','0.394','0.382','0.390','0.416','0.438','0.406'
'   13','0.468','0.481','0.491','0.515','0.531','0.547','0.570','0.599','0.615','0.632','0.660','0.668','0.686','0.696','0.726','0.722','0.740','0.744','0.746','0.744','0.714','0.709','0.719','0.702','0.643'
'   14','0.689','0.681','0.673','0.660','0.657','0.645','0.633','0.633','0.608','0.609','0.610','0.598','0.571','0.537','0.521','0.499','0.478','0.457','0.437','0.413','0.393','0.365','0.327','0.297','0.541'
'   15','0.256','0.209','0.170','0.128','0.074','0.032','9.982','9.928','9.882','9.854','9.810','9.804','9.754','9.730','9.664','9.648','9.628','9.588','9.582','9.554','9.552','9.540','9.530','9.528','9.809'
'   16','9.530','9.537','9.553','9.561','9.548','9.546','9.545','9.553','9.549','9.561','9.565','9.581','9.581','9.583','9.579','9.587','9.593','9.609','9.618','9.617','9.609','9.603','9.597','9.591','9.575'
'   17','9.581','9.585','9.577','9.567','9.559','9.555','9.551','9.543','9.540','9.539','9.540','9.525','9.512','9.485','9.476','9.470','9.472','9.478','9.485','9.494','9.493','9.491','9.490','9.490','9.521'
'   18','9.488','9.488','9.483','9.478','9.482','9.500','9.506','9.512','9.518','9.520','9.521','9.513','9.501','9.488','9.483','9.476','9.480','9.483','9.488','9.491','9.483','9.475','9.472','9.470','9.492'
'   19','9.468','9.466','9.464','9.462','9.460','9.458','9.456','9.454','9.437','9.447','9.441','9.431','9.415','9.405','9.393','9.383','9.381','9.407','9.423','9.447','9.463','9.501','9.526','9.553','9.448'
'   20','9.567','9.599','9.627','9.639','9.663','9.677','9.683','9.683','9.701','9.743','9.774','9.804','9.838','9.850','9.864','9.890','9.906','9.934','9.950','9.966','9.968','9.976','9.976','9.984','9.803'
'   21','9.994','9.988','9.990','9.990','9.990','9.994','9.994','0.000','0.016','0.017','0.014','0.006','0.002','0.000','9.991','9.976','9.980','9.980','9.978','9.983','9.976','9.984','9.988','0.012','9.993'
'   22','0.014','0.010','0.017','0.014','0.012','0.019','0.016','0.028','0.025','0.030','0.032','0.044','0.042','0.038','0.028','0.024','0.020','0.022','0.030','0.046','0.056','0.080','0.077','0.084','0.034'
'   23','0.092','0.105','0.106','0.114','0.125','0.141','0.166','0.182','0.194','0.202','0.207','0.206','0.205','0.201','0.203','0.207','0.209','0.209','0.217','0.223','0.221','0.225','0.234','0.239','0.185'
'   24','0.231','0.223','0.219','0.215','0.225','0.219','0.225','0.223','0.220','0.221','0.223','0.221','0.223','0.221','0.219','0.213','0.219','0.239','0.244','0.250','0.253','0.244','0.239','0.237','0.228'
'   25','0.216','0.195','0.174','0.163','0.142','0.121','0.100','0.079','0.055','0.028','0.018','9.994','9.985','9.970','9.968','9.956','9.958','9.944','9.963','9.964','9.976','9.986','9.984','9.982','0.038'
