'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.633','9.630','9.633','9.629','9.627','9.623','9.625','9.624','9.633','9.633','9.629','9.609','9.605','9.599','9.585','9.567','9.555','9.532','9.495','9.459','9.412','9.385','9.355','9.279','9.557'
'    2','9.212','9.169','9.131','9.088','9.066','9.012','8.988','8.982','8.980','8.966','8.965','8.974','8.987','9.003','9.037','9.056','9.073','9.091','9.097','9.125','9.139','9.149','9.151','9.164','9.067'
'    3','9.161','9.167','9.161','9.174','9.173','9.191','9.183','9.196','9.213','9.215','9.220','9.234','9.238','9.242','9.236','9.242','9.246','9.236','9.226','9.230','9.250','9.274','9.306','9.342','9.223'
'    4','9.353','9.343','9.343','9.343','9.331','9.344','9.345','9.351','9.368','9.377','9.393','9.394','9.393','9.392','9.369','9.385','9.359','9.381','9.380','9.383','9.383','9.388','9.395','9.401','9.371'
'    5','9.413','9.415','9.422','9.425','9.435','9.446','9.453','9.471','9.485','9.493','9.510','9.514','9.512','9.522','9.538','9.562','9.602','9.626','9.654','9.674','9.700','9.718','9.732','9.752','9.545'
'    6','9.758','9.770','9.782','9.798','9.803','9.808','9.826','9.848','9.854','9.868','9.869','9.865','9.851','9.843','9.842','9.839','9.839','9.831','9.822','9.817','9.815','9.797','9.783','9.785','9.821'
'    7','9.783','9.783','9.774','9.773','9.770','9.779','9.777','9.783','9.794','9.787','9.784','9.772','9.769','9.752','9.730','9.716','9.718','9.712','9.710','9.710','9.698','9.702','9.712','9.690','9.749'
'    8','9.698','9.702','9.702','9.704','9.718','9.750','9.765','9.815','9.839','9.884','9.905','9.928','9.942','9.959','9.990','0.022','0.046','0.080','0.098','0.125','0.138','0.157','0.170','0.182','9.930'
'    9','0.186','0.197','0.199','0.209','0.219','0.227','0.237','0.249','0.252','0.249','0.245','0.227','0.207','0.191','0.196','0.189','0.193','0.194','0.193','0.183','0.173','0.169','0.164','0.163','0.205'
'   10','0.151','0.141','0.121','0.107','0.096','0.090','0.091','0.090','0.091','0.082','0.062','0.050','0.036','0.032','0.022','0.024','0.026','0.024','0.028','0.041','0.046','0.045','0.042','0.037','0.066'
'   11','0.030','0.020','0.011','0.012','0.009','0.004','0.008','0.012','0.004','9.996','9.980','9.960','9.943','9.928','9.914','9.900','9.894','9.876','9.860','9.838','9.809','9.794','9.770','9.752','9.930'
'   12','9.725','9.699','9.681','9.663','9.649','9.631','9.611','9.591','9.572','9.555','9.557','9.539','9.511','9.483','9.483','9.481','9.519','9.571','9.583','9.615','9.647','9.683','9.727','9.771','9.606'
'   13','9.794','9.825','9.856','9.891','9.928','9.957','9.996','0.024','0.046','0.060','0.062','0.052','0.052','0.052','0.050','0.050','0.056','0.054','0.039','0.026','0.018','9.994','0.000','0.000','9.995'
'   14','9.985','9.967','9.939','9.947','9.961','9.963','9.954','9.967','9.965','9.975','9.985','9.983','9.989','0.007','0.019','0.040','0.059','0.079','0.097','0.110','0.126','0.144','0.151','0.167','0.024'
'   15','0.176','0.185','0.184','0.190','0.194','0.192','0.197','0.202','0.208','0.213','0.218','0.209','0.198','0.182','0.180','0.174','0.162','0.160','0.154','0.143','0.130','0.124','0.115','0.106','0.175'
'   16','0.096','0.087','0.064','0.009','0.037','0.040','0.033','0.036','0.033','0.033','0.029','0.027','0.023','0.017','0.015','0.016','0.021','0.021','0.008','0.021','0.019','0.025','0.025','0.019','0.031'
'   17','0.027','0.035','0.040','0.053','0.062','0.076','0.100','0.131','0.148','0.165','0.185','0.187','0.198','0.207','0.214','0.224','0.224','0.243','0.257','0.257','0.257','0.257','0.257','0.260','0.169'
'   18','0.251','0.240','0.236','0.228','0.237','0.243','0.241','0.240','0.242','0.249','0.245','0.246','0.243','0.232','0.230','0.237','0.215','0.225','0.225','0.229','0.235','0.237','0.243','0.249','0.237'
'   19','0.255','0.263','0.263','0.263','0.269','0.273','0.285','0.299','0.301','0.304','0.297','0.287','0.276','0.269','0.265','0.251','0.243','0.239','0.227','0.227','0.219','0.204','0.192','0.182','0.256'
'   20','0.160','0.151','0.146','0.119','0.107','0.090','0.083','0.060','0.056','0.046','0.027','0.018','9.992','9.983','9.971','9.966','9.970','9.975','9.987','0.001','0.011','0.029','0.035','0.039','0.043'
'   21','0.031','0.034','0.050','0.052','0.040','0.042','0.055','0.075','0.081','0.109','0.121','0.116','0.138','0.156','0.166','0.200','0.241','0.275','0.292','0.298','0.308','0.318','0.324','0.328','0.160'
