'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.837','9.830','9.817','9.819','9.803','9.795','9.827','9.880','9.897','9.936','9.954','9.974','0.006','0.026','0.047','0.084','0.106','0.140','0.170','0.185','0.194','0.213','0.226','0.242','0.000'
'    2','0.248','0.251','0.253','0.252','0.257','0.263','0.263','0.267','0.253','0.243','0.223','0.199','0.175','0.143','0.137','0.116','0.078','0.071','0.065','0.059','0.035','0.021','0.013','9.996','0.162'
'    3','9.978','9.944','9.928','9.910','9.898','9.885','9.878','9.887','9.908','9.936','9.962','9.972','9.974','9.988','9.992','0.013','0.032','0.060','0.070','0.080','0.082','0.094','0.089','0.082','9.985'
'    4','0.079','0.072','0.052','0.052','0.044','0.038','0.034','0.036','0.025','0.030','0.019','0.003','9.987','9.970','9.957','9.941','9.937','9.937','9.921','9.921','9.909','9.891','9.871','9.861','9.983'
'    5','9.843','9.839','9.815','9.781','9.763','9.743','9.723','9.705','9.675','9.649','9.643','9.621','9.603','9.595','9.573','9.539','9.538','9.525','9.511','9.500','9.481','9.455','9.449','9.440','9.625'
'    6','9.423','9.420','9.407','9.401','9.404','9.418','9.431','9.443','9.456','9.469','9.482','9.485','9.482','9.484','9.473','9.468','9.464','9.462','9.454','9.434','9.416','9.398','9.372','9.336','9.437'
'    7','9.287','9.261','9.226','9.171','9.153','9.164','9.154','9.141','9.134','9.129','9.116','9.106','9.107','9.118','9.126','9.159','9.242','9.284','9.288','9.344','9.368','9.382','9.384','9.390','9.218'
'    8','9.388','9.394','9.390','9.380','9.358','9.338','9.320','9.300','9.284','9.244','9.204','9.172','9.129','9.078','9.032','8.980','8.929','8.898','8.884','8.897','8.892','8.890','8.876','8.868','9.130'
'    9','8.853','8.849','8.859','8.869','8.885','8.903','8.922','8.957','8.989','9.007','9.040','9.083','9.118','9.166','9.198','9.220','9.248','9.284','9.316','9.342','9.364','9.388','9.410','9.440','9.113'
'   10','9.449','9.476','9.491','9.505','9.521','9.537','9.553','9.578','9.599','9.625','9.622','9.613','9.613','9.615','9.623','9.632','9.631','9.641','9.649','9.658','9.654','9.651','9.651','9.654','9.593'
'   11','9.655','9.653','9.639','9.639','9.623','9.615','9.609','9.611','9.607','9.599','9.583','9.555','9.527','9.517','9.476','9.453','9.443','9.434','9.409','9.377','9.393','9.369','9.355','9.351','9.520'
'   12','9.354','9.366','9.372','9.385','9.372','9.384','9.392','9.404','9.415','9.450','9.461','9.494','9.536','9.580','9.624','9.662','9.678','9.686','9.689','9.694','9.703','9.708','9.707','9.710','9.534'
'   13','9.726','9.733','9.722','9.719','9.712','9.706','9.712','9.706','9.699','9.684','9.665','9.639','9.605','9.588','9.575','9.670','9.703','9.745','9.798','9.822','9.865','9.899','9.933','9.970','9.733'
'   14','0.001','0.037','0.062','0.095','0.125','0.165','0.187','0.233','0.241','0.263','0.269','0.267','0.259','0.255','0.241','0.235','0.225','0.227','0.229','0.221','0.189','0.187','0.167','0.162','0.189'
'   15','0.164','0.165','0.165','0.175','0.177','0.183','0.185','0.191','0.197','0.217','0.219','0.213','0.201','0.189','0.177','0.173','0.169','0.181','0.166','0.146','0.137','0.137','0.130','0.143','0.175'
'   16','0.145','0.148','0.133','0.113','0.107','0.121','0.145','0.173','0.195','0.197','0.212','0.208','0.210','0.224','0.232','0.256','0.261','0.270','0.280','0.294','0.308','0.319','0.320','0.338','0.217'
'   17','0.350','0.354','0.346','0.348','0.352','0.358','0.358','0.364','0.356','0.350','0.345','0.339','0.331','0.325','0.324','0.325','0.335','0.339','0.345','0.348','0.343','0.355','0.349','0.359','0.346'
'   18','0.367','0.373','0.371','0.365','0.373','0.384','0.385','0.393','0.393','0.389','0.405','0.401','0.389','0.391','0.389','0.413','0.407','0.407','0.385','0.379','0.389','0.390','0.380','0.378','0.387'
'   19','0.373','0.348','0.333','0.323','0.338','0.343','0.348','0.348','0.344','0.342','0.342','0.334','0.318','0.316','0.314','0.295','0.318','0.332','0.336','0.336','0.340','0.342','0.352','0.363','0.337'
