'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','1.076','1.074','1.068','1.066','1.058','1.046','1.042','1.034','1.032','1.027','1.032','1.020','1.000','0.978','0.944','0.932','0.902','0.894','0.888','0.878','0.851','0.836','0.831','0.806','0.971'
'    2','0.782','0.761','0.737','0.698','0.696','0.672','0.672','0.666','0.646','0.648','0.636','0.624','0.598','0.574','0.558','0.538','0.554','0.560','0.548','0.534','0.509','0.518','0.507','0.486','0.613'
'    3','0.468','0.459','0.442','0.428','0.414','0.410','0.404','0.402','0.398','0.386','0.391','0.377','0.357','0.345','0.323','0.315','0.313','0.312','0.320','0.327','0.323','0.315','0.327','0.337','0.371'
'    4','0.339','0.317','0.299','0.287','0.293','0.293','0.287','0.285','0.285','0.279','0.266','0.254','0.236','0.222','0.212','0.194','0.174','0.166','0.158','0.160','0.150','0.146','0.136','0.116','0.231'
'    5','0.094','0.072','0.044','0.030','0.006','9.990','9.966','9.948','9.938','9.910','9.888','9.865','9.833','9.788','9.763','9.735','9.713','9.689','9.661','9.629','9.609','9.599','9.573','9.556','9.829'
'    6','9.534','9.501','9.473','9.449','9.423','9.405','9.379','9.364','9.364','9.369','9.361','9.349','9.355','9.359','9.365','9.369','9.381','9.391','9.397','9.405','9.406','9.415','9.425','9.433','9.403'
'    7','9.442','9.446','9.450','9.450','9.456','9.468','9.484','9.492','9.497','9.504','9.514','9.510','9.506','9.500','9.494','9.500','9.514','9.526','9.528','9.530','9.526','9.526','9.532','9.524','9.497'
'    8','9.524','9.520','9.516','9.520','9.520','9.518','9.516','9.526','9.522','9.512','9.508','9.512','9.510','9.498','9.486','9.488','9.492','9.480','9.468','9.448','9.406','9.376','9.367','9.376','9.484'
'    9','9.382','9.378','9.376','9.374','9.377','9.378','9.368','9.374','9.372','9.382','9.392','9.404','9.412','9.434','9.452','9.486','9.504','9.542','9.558','9.570','9.582','9.590','9.599','9.606','9.454'
'   10','9.606','9.614','9.616','9.620','9.616','9.618','9.622','9.622','9.622','9.634','9.623','9.617','9.614','9.604','9.599','9.597','9.595','9.601','9.605','9.597','9.597','9.597','9.599','9.599','9.610'
'   11','9.595','9.603','9.609','9.619','9.629','9.643','9.659','9.696','9.709','9.727','9.762','9.768','9.778','9.780','9.784','9.798','9.808','9.810','9.818','9.826','9.822','9.818','9.792','9.780','9.735'
'   12','9.781','9.773','9.779','9.793','9.807','9.825','9.839','9.851','9.865','9.875','9.889','9.895','9.891','9.896','9.893','9.899','9.907','9.927','9.933','9.937','9.947','9.953','9.951','9.961','9.878'
'   13','9.970','9.981','9.984','9.992','0.002','0.010','0.022','0.040','0.049','0.058','0.070','0.074','0.074','0.074','0.072','0.074','0.084','0.102','0.112','0.118','0.108','0.110','0.104','0.098','0.058'
'   14','0.087','0.059','0.028','0.001','9.973','9.953','9.941','9.945','9.945','9.961','9.994','0.007','0.017','0.034','0.051','0.071','0.098','0.123','0.134','0.142','0.153','0.162','0.178','0.186','0.052'
'   15','0.178','0.180','0.176','0.177','0.174','0.166','0.162','0.162','0.151','0.150','0.140','0.100','0.105','0.095','0.082','0.082','0.061','0.078','0.068','0.060','0.036','0.023','0.004','9.982','0.108'
'   16','9.970','9.946','9.910','9.895','9.878','9.872','9.862','9.864','9.860','9.852','9.859','9.855','9.844','9.806','9.787','9.779','9.775','9.775','9.775','9.775','9.791','9.791','9.791','9.795','9.838'
'   17','9.796','9.795','9.797','9.795','9.797','9.801','9.815','9.825','9.835','9.857','9.871','9.881','9.887','9.897','9.911','9.921','9.946','9.979','9.985','0.005','0.015','0.031','0.039','0.053','9.897'
'   18','0.051','0.051','0.049','0.051','0.045','0.053','0.059','0.063','0.073','0.075','0.062','0.044','0.028','0.008','9.990','9.980','9.978','9.990','9.990','9.992','9.984','9.984','9.966','9.972','0.022'
'   19','9.966','9.956','9.946','9.964','9.960','9.966','9.988','9.988','9.992','0.000','0.015','0.019','0.017','0.025','0.031','0.044','0.057','0.081','0.094','0.101','0.101','0.115','0.127','0.127','0.028'
'   20','0.137','0.137','0.143','0.143','0.144','0.147','0.143','0.145','0.141','0.145','0.144','0.136','0.126','0.108','0.096','0.082','0.078','0.064','0.064','0.058','0.060','0.034','0.024','0.012','0.105'
'   21','9.998','9.988','9.966','9.958','9.952','9.940','9.930','9.928','9.924','9.928','9.911','9.903','9.887','9.873','9.853','9.853','9.847','9.847','9.841','9.825','9.823','9.815','9.797','9.787','9.891'
'   22','9.773','9.753','9.733','9.713','9.705','9.707','9.679','9.683','9.683','9.677','9.675','9.675','9.653','9.633','9.631','9.621','9.613','9.611','9.597','9.591','9.573','9.565','9.553','9.537','9.651'
'   23','9.520','9.503','9.490','9.486','9.488','9.508','9.520','9.542','9.562','9.582','9.588','9.599','9.590','9.583','9.573','9.561','9.559','9.565','9.561','9.549','9.539','9.525','9.511','9.519','9.543'
'   24','9.513','9.515','9.513','9.509','9.511','9.513','9.501','9.503','9.511','9.519','9.529','9.535','9.525','9.523','9.523','9.541','9.549','9.562','9.569','9.577','9.574','9.583','9.595','9.603','9.537'
'   25','9.611','9.613','9.613','9.613','9.617','9.623','9.633','9.643','9.647','9.647','9.650','9.660','9.650','9.640','9.648','9.648','9.646','9.647','9.652','9.654','9.656','9.658','9.650','9.642','9.640'
'   26','9.642','9.642','9.626','9.616','9.605','9.601','9.600','9.600','9.600','9.594','9.594','9.575','9.553','9.516','9.498','9.474','9.469','9.454','9.458','9.430','9.420','9.396','9.390','9.404','9.532'
'   27','9.389','9.359','9.333','9.307','9.303','9.273','9.281','9.263','9.231','9.222','9.184','9.226','9.206','9.218','9.226','9.232','9.188','9.220','9.230','9.240','9.250','9.256','9.254','9.262','9.256'
'   28','9.266','9.264','9.266','9.268','9.276','9.277','9.286','9.296','9.298','9.302','9.307','9.317','9.323','9.331','9.315','9.317','9.328','9.345','9.373','9.383','9.395','9.399','9.405','9.419','9.323'
' Mean','9.875','9.866','9.857','9.851','9.847','9.846','9.845','9.848','9.848','9.851','9.852','9.850','9.842','9.834','9.827','9.826','9.826','9.834','9.835','9.834','9.829','9.826','9.822','9.821','9.841'
