"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.756','9.774','9.804','9.824','9.838','9.845','9.856','9.884','9.894','9.908','9.917','9.916','9.911','9.911','9.917','9.913','9.913','9.909','9.909','9.913','9.906','9.902','9.895','9.881','9.879',
"2",'9.868','9.854','9.842','9.826','9.814','9.784','9.770','9.760','9.750','9.744','9.709','9.675','9.639','9.623','9.605','9.587','9.565','9.560','9.545','9.545','9.528','9.515','9.501','9.487','9.671',
"3",'9.467','9.465','9.459','9.441','9.439','9.427','9.440','9.455','9.465','9.489','9.514','9.528','9.536','9.572','9.602','9.636','9.680','9.713','9.754','9.764','9.772','9.800','9.831','9.846','9.587',
"4",'9.859','9.847','9.863','9.879','9.886','9.885','9.901','9.925','9.946','9.961','9.965','9.971','9.968','9.977','9.989','0.005','0.016','0.023','0.033','0.035','0.040','0.045','0.042','0.053','9.963',
"5",'0.049','0.053','0.051','0.047','0.043','0.029','0.029','0.037','0.037','0.029','0.020','0.008','9.992','9.971','9.969','9.934','9.918','9.906','9.893','9.886','9.852','9.831','9.807','9.778','9.965',
"6",'9.749','9.716','9.679','9.644','9.599','9.584','9.593','9.574','9.573','9.577','9.570','9.561','9.564','9.560','9.563','9.563','9.568','9.569','9.567','9.576','9.575','9.578','9.578','9.583','9.594',
"7",'9.590','9.579','9.616','9.633','9.649','9.671','9.696','9.734','9.755','9.781','9.809','9.819','9.837','9.857','9.867','9.883','9.877','9.879','9.877','9.869','9.857','9.847','9.831','9.804','9.776',
"8",'9.763','9.746','9.795','9.793','9.817','9.847','9.865','9.893','9.897','9.905','9.901','9.893','9.879','9.855','9.825','9.791','9.739','9.713','9.676','9.629','9.665','9.681','9.699','9.715','9.791',
"9",'9.700','9.738','9.730','9.760','9.742','9.730','9.754','9.772','9.822','9.818','9.787','9.808','9.826','9.838','9.830','9.848','9.868','9.878','9.880','9.910','9.926','9.940','9.954','9.974','9.826',
"10",'9.996','0.020','0.058','0.080','0.091','0.120','0.148','0.168','0.212','0.239','0.258','0.272','0.290','0.296','0.324','0.350','0.360','0.360','0.370','0.374','0.385','0.396','0.387','0.392','0.248',
"11",'0.385','0.382','0.376','0.370','0.350','0.342','0.336','0.344','0.346','0.350','0.342','0.330','0.317','0.309','0.305','0.296','0.285','0.283','0.276','0.285','0.276','0.279','0.271','0.260','0.321',
"12",'0.252','0.238','0.216','0.194','0.181','0.178','0.146','0.151','0.132','0.150','0.160','0.158','0.130','0.136','0.135','0.144','0.137','0.152','0.151','0.162','0.160','0.160','0.145','0.136','0.163',
"13",'0.128','0.100','0.078','0.050','0.016','9.998','9.976','9.958','9.941','9.916','9.884','9.854','9.831','9.796','9.781','9.766','9.756','9.756','9.756','9.762','9.764','9.776','9.798','9.808','9.885',
"14",'9.816','9.824','9.806','9.806','9.792','9.786','9.773','9.764','9.740','9.721','9.707','9.667','9.637','9.598','9.551','9.518','9.480','9.427','9.393','9.349','9.325','9.283','9.247','9.220','9.593',
"15",'9.194','9.180','9.158','9.140','9.122','9.104','9.082','9.084','9.076','9.124','9.136','9.132','9.128','9.138','9.144','9.169','9.178','9.196','9.191','9.194','9.190','9.192','9.198','9.187','9.152',
"16",'9.194','9.198','9.195','9.203','9.198','9.197','9.213','9.229','9.251','9.279','9.293','9.301','9.312','9.325','9.341','9.355','9.365','9.379','9.393','9.403','9.401','9.413','9.414','9.425','9.303',
"17",'9.420','9.428','9.416','9.410','9.398','9.380','9.370','9.362','9.344','9.328','9.294','9.260','9.220','9.208','9.214','9.200','9.180','9.126','9.058','9.040','9.046','9.178','9.248','9.316','9.269',
"18",'9.369','9.425','9.479','9.521','9.565','9.592','9.628','9.689','9.748','9.805','9.834','9.867','9.894','9.926','9.964','9.964','9.982','9.990','9.988','9.980','9.965','9.936','9.914','9.862','9.787',
"19",'9.826','9.784','9.752','9.706','9.648','9.582','9.540','9.498','9.460','9.424','9.406','9.482','9.490','9.500','9.502','9.518','9.536','9.570','9.596','9.614','9.626','9.676','9.686','9.722','9.589',
"20",'9.746','9.778','9.786','9.808','9.827','9.843','9.856','9.890','9.911','9.937','9.950','9.958','9.950','9.966','9.976','9.990','0.002','0.016','0.028','0.040','0.040','0.042','0.050','0.048','9.935',
"21",'0.044','0.024','0.010','9.984','9.952','9.930','9.880','9.856','9.806','9.768','9.730','9.670','9.632','9.602','9.592','9.568','9.600','9.630','9.651','9.688','9.692','9.708','9.704','9.692','9.767',
"22",'9.685','9.648','9.623','9.598','9.550','9.508','9.472','9.426','9.426','9.436','9.451','9.451','9.465','9.489','9.497','9.521','9.551','9.565','9.581','9.589','9.568','9.559','9.577','9.597','9.535',
"23",'9.615','9.613','9.625','9.644','9.659','9.695','9.719','9.761','9.785','9.789','9.790','9.804','9.818','9.834','9.836','9.834','9.830','9.838','9.824','9.812','9.798','9.788','9.764','9.736','9.759',
"24",'9.706','9.672','9.636','9.606','9.582','9.554','9.524','9.494','9.460','9.426','9.397','9.367','9.351','9.377','9.431','9.496','9.517','9.531','9.543','9.563','9.611','9.643','9.677','9.739','9.538',
"25",'9.775','9.814','9.854','9.890','9.923','9.939','9.976','0.022','0.036','0.062','0.067','0.073','0.077','0.075','0.079','0.085','0.081','0.077','0.059','0.050','0.031','0.009','9.979','9.943','9.999',
"26",'9.910','9.874','9.831','9.818','9.754','9.714','9.620','9.564','9.518','9.422','9.417','9.505','9.536','9.561','9.575','9.599','9.595','9.625','9.603','9.595','9.585','9.567','9.549','9.527','9.619',
"27",'9.508','9.468','9.450','9.408','9.386','9.356','9.334','9.326','9.316','9.318','9.316','9.316','9.306','9.321','9.328','9.328','9.320','9.313','9.288','9.277','9.245','9.236','9.218','9.224','9.329',
"28",'9.237','9.261','9.311','9.355','9.401','9.455','9.481','9.527','9.569','9.601','9.653','9.689','9.723','9.755','9.789','9.829','9.861','9.907','9.951','9.978','9.989','0.003','0.019','0.029','9.682',
"29",'0.017','0.026','0.016','0.018','0.017','0.016','0.024','0.038','0.034','0.058','0.064','0.062','0.070','0.072','0.074','0.076','0.088','0.089','0.104','0.114','0.103','0.105','0.094','0.094','0.061',
"30",'0.078','0.074','0.066','0.066','0.054','0.042','0.040','0.036','0.037','0.038','0.040','0.037','0.028','0.016','0.020','0.022','0.040','0.050','0.054','0.068','0.066','0.072','0.071','0.078','0.050',
"31",'0.083','0.084','0.082','0.082','0.082','0.082','0.079','0.081','0.080','0.080','0.076','0.053','0.038','0.020','0.016','9.992','9.986','9.968','9.954','9.938','9.920','9.903','9.892','9.882','0.019',
Mean,'9.756','9.774','9.804','9.824','9.838','9.845','9.856','9.884','9.894','9.908','9.917','9.916','9.911','9.911','9.917','9.913','9.913','9.909','9.909','9.913','9.906','9.902','9.895','9.881','9.879',
