"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'0.210','0.190','0.176','0.172','0.162','0.154','0.146','0.132','0.112','0.096','0.093','0.081','0.077','0.069','0.053','0.049','0.053','0.067','0.081','0.089','0.089','0.099','0.097','0.105','0.110',
"2",'0.105','0.095','0.087','0.087','0.081','0.075','0.081','0.079','0.071','0.066','0.064','0.048','0.044','0.026','0.018','9.996','9.984','9.970','9.958','9.944','9.923','9.902','9.885','9.864','0.019',
"3",'9.837','9.803','9.785','9.753','9.727','9.697','9.675','9.647','9.611','9.577','9.539','9.501','9.462','9.430','9.402','9.379','9.337','9.322','9.301','9.278','9.263','9.250','9.235','9.223','9.501',
"4",'9.201','9.191','9.175','9.163','9.159','9.158','9.159','9.165','9.163','9.172','9.186','9.196','9.201','9.213','9.213','9.225','9.244','9.259','9.277','9.293','9.313','9.325','9.337','9.355','9.223',
"5",'9.366','9.374','9.396','9.408','9.424','9.448','9.468','9.492','9.516','9.526','9.534','9.558','9.596','9.622','9.646','9.676','9.700','9.722','9.744','9.756','9.760','9.768','9.782','9.792','9.586',
"6",'9.790','9.778','9.774','9.770','9.756','9.754','9.754','9.752','9.739','9.730','9.715','9.715','9.709','9.701','9.688','9.690','9.687','9.691','9.701','9.713','9.723','9.737','9.742','9.747','9.732',
"7",'9.744','9.748','9.748','9.766','9.780','9.808','9.830','9.856','9.866','9.872','9.882','9.884','9.890','9.892','9.898','9.904','9.916','9.944','9.958','9.978','9.982','9.980','9.988','9.996','9.880',
"8",'9.996','9.990','9.986','9.988','9.982','9.986','9.970','9.960','9.960','9.943','9.917','9.899','9.887','9.867','9.835','9.823','9.817','9.807','9.779','9.763','9.749','9.731','9.721','9.691','9.877',
"9",'9.676','9.640','9.622','9.608','9.596','9.602','9.606','9.608','9.618','9.614','9.614','9.613','9.596','9.590','9.574','9.582','9.566','9.560','9.556','9.549','9.524','9.514','9.502','9.478','9.584',
"10",'9.440','9.394','9.412','9.416','9.434','9.442','9.444','9.462','9.476','9.498','9.518','9.520','9.534','9.546','9.551','9.564','9.556','9.554','9.534','9.525','9.506','9.486','9.440','9.406','9.486',
"11",'9.349','9.291','9.243','9.192','9.161','9.139','9.141','9.141','9.149','9.157','9.157','9.157','9.153','9.145','9.145','9.131','9.143','9.168','9.195','9.233','9.261','9.288','9.323','9.336','9.200',
"12",'9.351','9.371','9.383','9.393','9.395','9.405','9.403','9.387','9.373','9.347','9.308','9.260','9.188','9.162','9.150','9.144','9.132','9.112','9.100','9.067','9.042','9.028','9.008','8.969','9.228',
"13",'8.951','8.929','8.941','8.953','9.005','9.085','9.157','9.233','9.307','9.373','9.432','9.508','9.574','9.630','9.676','9.728','9.748','9.774','9.792','9.808','9.806','9.808','9.802','9.800','9.451',
"14",'9.779','9.755','9.716','9.664','9.624','9.582','9.559','9.562','9.547','9.572','9.593','9.621','9.651','9.671','9.691','9.691','9.707','9.713','9.703','9.711','9.705','9.701','9.683','9.674','9.661',
"15",'9.639','9.585','9.543','9.497','9.459','9.433','9.415','9.405','9.377','9.355','9.330','9.350','9.448','9.466','9.444','9.433','9.436','9.422','9.414','9.418','9.384','9.368','9.328','9.292','9.427',
"16",'9.246','9.204','9.170','9.228','9.332','9.416','9.486','9.550','9.596','9.654','9.709','9.767','9.815','9.863','9.897','9.939','9.977','0.011','0.031','0.049','0.053','0.061','0.061','0.058','9.716',
"17",'0.050','0.030','0.015','9.984','9.958','9.946','9.937','9.936','9.946','9.972','9.980','0.010','0.040','0.064','0.096','0.122','0.132','0.152','0.162','0.186','0.198','0.212','0.223','0.238','0.066',
"18",'0.244','0.250','0.250','0.246','0.250','0.262','0.272','0.294','0.298','0.308','0.317','0.329','0.337','0.355','0.358','0.369','0.375','0.393','0.405','0.425','0.429','0.439','0.445','0.457','0.338',
"19",'0.471','0.473','0.471','0.468','0.471','0.473','0.489','0.496','0.493','0.495','0.502','0.500','0.494','0.492','0.478','0.476','0.460','0.448','0.439','0.451','0.458','0.462','0.462','0.468','0.475',
"20",'0.462','0.454','0.446','0.441','0.436','0.434','0.434','0.442','0.440','0.432','0.425','0.409','0.391','0.367','0.354','0.335','0.329','0.325','0.323','0.327','0.337','0.337','0.336','0.337','0.390',
"21",'0.336','0.332','0.330','0.330','0.326','0.328','0.328','0.326','0.318','0.312','0.304','0.296','0.288','0.272','0.260','0.236','0.222','0.218','0.222','0.236','0.248','0.254','0.240','0.240','0.283',
"22",'0.238','0.230','0.222','0.220','0.214','0.222','0.222','0.222','0.222','0.220','0.215','0.213','0.209','0.204','0.199','0.189','0.187','0.183','0.183','0.191','0.193','0.189','0.183','0.183','0.206',
"23",'0.179','0.175','0.169','0.163','0.161','0.163','0.167','0.165','0.159','0.155','0.146','0.136','0.136','0.130','0.113','0.108','0.110','0.110','0.110','0.118','0.120','0.116','0.118','0.118','0.139',
"24",'0.115','0.110','0.104','0.094','0.094','0.094','0.094','0.090','0.082','0.078','0.063','0.051','0.045','0.045','0.033','0.031','0.029','0.039','0.031','0.043','0.060','0.075','0.107','0.126','0.072',
"25",'0.124','0.138','0.144','0.150','0.160','0.172','0.190','0.200','0.205','0.213','0.218','0.211','0.208','0.202','0.204','0.200','0.202','0.208','0.208','0.212','0.216','0.220','0.218','0.220','0.193',
"26",'0.214','0.204','0.183','0.186','0.176','0.158','0.154','0.142','0.130','0.108','0.094','0.066','0.036','0.010','9.980','9.958','9.940','9.922','9.916','9.934','9.956','9.980','0.012','0.038','0.062',
"27",'0.052','0.052','0.060','0.068','0.072','0.098','0.104','0.112','0.113','0.116','0.119','0.114','0.109','0.103','0.097','0.099','0.091','0.100','0.107','0.123','0.127','0.129','0.123','0.133','0.101',
"28",'0.124','0.110','0.087','0.078','0.072','0.054','0.042','0.026','0.010','9.982','9.956','9.946','9.924','9.896','9.872','9.844','9.825','9.800','9.776','9.746','9.720','9.700','9.670','9.636','9.912',
"29",'9.596','9.564','9.535','9.504','9.492','9.500','9.510','9.528','9.552','9.572','9.592','9.596','9.610','9.622','9.624','9.643','9.650','9.662','9.670','9.690','9.704','9.718','9.728','9.738','9.608',
"30",'9.743','9.748','9.749','9.751','9.749','9.761','9.765','9.776','9.767','9.763','9.768','9.746','9.750','9.745','9.740','9.720','9.708','9.696','9.676','9.656','9.646','9.654','9.656','9.698','9.726',
Mean,'0.210','0.190','0.176','0.172','0.162','0.154','0.146','0.132','0.112','0.096','0.093','0.081','0.077','0.069','0.053','0.049','0.053','0.067','0.081','0.089','0.089','0.099','0.097','0.105','0.111',
