"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.764','9.756','9.754','9.748','9.740','9.748','9.746','9.760','9.770','9.775','9.790','9.797','9.814','9.835','9.867','9.892','9.901','9.925','9.945','9.964','9.973','9.990','0.005','0.024','9.845',
"2",'0.038','0.060','0.070','0.085','0.099','0.123','0.138','0.144','0.154','0.169','0.164','0.172','0.176','0.190','0.189','0.192','0.191','0.204','0.207','0.225','0.228','0.229','0.230','0.243','0.163',
"3",'0.240','0.247','0.240','0.256','0.261','0.268','0.280','0.283','0.273','0.275','0.267','0.265','0.265','0.265','0.265','0.265','0.263','0.263','0.274','0.278','0.289','0.299','0.310','0.320','0.271',
"4",'0.320','0.320','0.327','0.329','0.338','0.343','0.343','0.343','0.338','0.329','0.324','0.320','0.315','0.314','0.304','0.302','0.298','0.295','0.302','0.314','0.318','0.328','0.326','0.333','0.322',
"5",'0.330','0.332','0.336','0.344','0.348','0.354','0.351','0.342','0.340','0.336','0.331','0.324','0.317','0.311','0.303','0.302','0.295','0.295','0.311','0.326','0.338','0.342','0.347','0.347','0.329',
"6",'0.344','0.346','0.342','0.342','0.342','0.344','0.342','0.338','0.324','0.314','0.311','0.304','0.290','0.285','0.272','0.270','0.267','0.269','0.273','0.283','0.291','0.303','0.310','0.310','0.309',
"7",'0.309','0.309','0.302','0.302','0.302','0.299','0.297','0.292','0.273','0.262','0.257','0.243','0.227','0.211','0.203','0.192','0.191','0.197','0.200','0.205','0.213','0.229','0.229','0.229','0.249',
"8",'0.220','0.219','0.212','0.212','0.212','0.213','0.203','0.213','0.201','0.192','0.177','0.169','0.168','0.166','0.156','0.160','0.157','0.168','0.176','0.192','0.203','0.211','0.218','0.218','0.193',
"9",'0.214','0.218','0.209','0.211','0.209','0.205','0.195','0.191','0.179','0.167','0.150','0.133','0.120','0.108','0.089','0.072','0.070','0.076','0.075','0.075','0.086','0.093','0.091','0.089','0.139',
"10",'0.083','0.076','0.066','0.066','0.066','0.068','0.063','0.063','0.063','0.063','0.064','0.062','0.053','0.049','0.041','0.047','0.040','0.051','0.071','0.093','0.112','0.132','0.139','0.150','0.074',
"11",'0.155','0.155','0.155','0.157','0.163','0.163','0.163','0.163','0.155','0.146','0.132','0.119','0.111','0.112','0.105','0.105','0.105','0.108','0.108','0.116','0.135','0.145','0.152','0.157','0.137',
"12",'0.160','0.160','0.155','0.153','0.148','0.148','0.138','0.130','0.116','0.101','0.097','0.089','0.076','0.066','0.053','0.041','0.035','0.025','0.022','0.022','0.021','9.998','9.989','9.973','0.080',
"13",'9.949','9.920','9.888','9.864','9.851','9.846','9.808','9.790','9.791','9.789','9.775','9.775','9.775','9.780','9.779','9.773','9.761','9.749','9.735','9.727','9.724','9.722','9.731','9.738','9.793',
"14",'9.738','9.734','9.725','9.723','9.719','9.719','9.715','9.700','9.695','9.679','9.665','9.643','9.630','9.601','9.581','9.543','9.508','9.470','9.427','9.378','9.352','9.304','9.270','9.258','9.574',
"15",'9.223','9.217','9.219','9.219','9.227','9.255','9.293','9.319','9.336','9.359','9.391','9.415','9.435','9.463','9.474','9.450','9.433','9.403','9.386','9.354','9.331','9.316','9.315','9.311','9.339',
"16",'9.308','9.292','9.279','9.276','9.279','9.274','9.259','9.274','9.304','9.340','9.360','9.389','9.410','9.425','9.423','9.429','9.439','9.462','9.500','9.528','9.552','9.574','9.589','9.612','9.399',
