"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.744','9.753','9.748','9.757','9.752','9.742','9.739','9.731','9.725','9.703','9.694','9.658','9.620','9.557','9.515','9.464','9.419','9.368','9.326','9.296','9.280','9.290','9.296','9.341','9.563',
"2",'9.364','9.380','9.411','9.460','9.478','9.528','9.568','9.595','9.634','9.668','9.686','9.697','9.720','9.730','9.729','9.743','9.763','9.760','9.755','9.765','9.740','9.723','9.733','9.712','9.639',
"3",'9.702','9.696','9.684','9.667','9.655','9.648','9.657','9.670','9.676','9.676','9.677','9.686','9.675','9.673','9.671','9.671','9.674','9.680','9.685','9.691','9.675','9.667','9.655','9.640','9.673',
"4",'9.613','9.595','9.581','9.532','9.503','9.461','9.426','9.401','9.378','9.390','9.406','9.410','9.418','9.425','9.440','9.454','9.477','9.489','9.498','9.515','9.526','9.542','9.568','9.590','9.485',
"5",'9.609','9.617','9.638','9.640','9.657','9.661','9.696','9.720','9.733','9.768','9.784','9.798','9.814','9.826','9.849','9.879','9.914','9.935','9.975','9.994','0.017','0.052','0.074','0.095','9.823',
"6",'0.106','0.117','0.136','0.149','0.161','0.174','0.195','0.203','0.219','0.233','0.235','0.246','0.251','0.243','0.246','0.256','0.264','0.275','0.280','0.282','0.277','0.269','0.248','0.237','0.221',
"7",'0.219','0.208','0.198','0.187','0.181','0.142','0.143','0.136','0.142','0.143','0.145','0.151','0.154','0.156','0.169','0.176','0.192','0.201','0.212','0.229','0.232','0.242','0.251','0.262','0.186',
"8",'0.263','0.267','0.263','0.266','0.261','0.263','0.274','0.287','0.295','0.309','0.314','0.314','0.308','0.292','0.298','0.302','0.310','0.314','0.322','0.326','0.332','0.336','0.335','0.337','0.300',
"9",'0.339','0.335','0.334','0.331','0.333','0.336','0.334','0.347','0.349','0.363','0.364','0.368','0.374','0.360','0.367','0.375','0.392','0.415','0.425','0.438','0.462','0.482','0.497','0.518','0.385',
"10",'0.526','0.535','0.535','0.535','0.539','0.539','0.541','0.551','0.564','0.567','0.569','0.557','0.541','0.524','0.511','0.487','0.475','0.474','0.473','0.474','0.484','0.487','0.503','0.501','0.521',
"11",'0.508','0.510','0.512','0.522','0.525','0.531','0.538','0.543','0.541','0.542','0.548','0.546','0.526','0.506','0.502','0.489','0.486','0.481','0.477','0.475','0.469','0.465','0.462','0.456','0.507',
"12",'0.442','0.435','0.421','0.415','0.415','0.403','0.399','0.400','0.409','0.398','0.400','0.390','0.382','0.365','0.353','0.350','0.343','0.339','0.338','0.325','0.310','0.292','0.278','0.277','0.370',
"13",'0.296','0.298','0.294','0.299','0.310','0.331','0.350','0.379','0.391','0.408','0.413','0.425','0.429','0.448','0.444','0.465','0.469','0.481','0.497','0.512','0.524','0.526','0.546','0.563','0.421',
"14",'0.568','0.569','0.577','0.581','0.584','0.589','0.601','0.605','0.609','0.628','0.630','0.626','0.619','0.612','0.610','0.609','0.612','0.625','0.637','0.637','0.632','0.632','0.644','0.645','0.612',
"15",'0.650','0.649','0.650','0.646','0.649','0.650','0.654','0.655','0.652','0.650','0.654','0.652','0.642','0.632','0.620','0.613','0.602','0.598','0.594','0.592','0.591','0.586','0.578','0.579','0.627',
"16",'0.568','0.548','0.542','0.531','0.520','0.514','0.522','0.512','0.508','0.492','0.487','0.481','0.470','0.457','0.451','0.443','0.443','0.440','0.441','0.436','0.439','0.439','0.440','0.443','0.482',
"17",'0.431','0.431','0.427','0.420','0.427','0.431','0.434','0.443','0.454','0.459','0.470','0.470','0.479','0.479','0.479','0.475','0.482','0.485','0.490','0.489','0.497','0.500','0.493','0.492','0.464',
"18",'0.479','0.485','0.471','0.469','0.451','0.448','0.435','0.427','0.419','0.417','0.415','0.400','0.383','0.364','0.349','0.343','0.342','0.347','0.352','0.350','0.354','0.352','0.359','0.358','0.399',
"19",'0.350','0.348','0.350','0.348','0.352','0.349','0.351','0.360','0.354','0.360','0.360','0.350','0.346','0.332','0.321','0.320','0.323','0.333','0.337','0.340','0.343','0.346','0.346','0.354','0.345',
"20",'0.348','0.347','0.346','0.346','0.348','0.356','0.360','0.372','0.376','0.380','0.379','0.378','0.363','0.352','0.349','0.341','0.345','0.351','0.365','0.369','0.373','0.375','0.370','0.367','0.361',
"21",'0.367','0.367','0.367','0.363','0.353','0.346','0.353','0.361','0.369','0.365','0.357','0.355','0.347','0.333','0.327','0.331','0.331','0.337','0.335','0.342','0.341','0.343','0.341','0.331','0.348',
"22",'0.319','0.316','0.303','0.292','0.290','0.292','0.282','0.290','0.285','0.284','0.279','0.253','0.225','0.221','0.199','0.201','0.191','0.189','0.181','0.175','0.171','0.171','0.139','0.124','0.236',
"23",'0.101','0.095','0.073','0.059','0.054','0.062','0.077','0.097','0.109','0.126','0.128','0.128','0.123','0.116','0.114','0.107','0.100','0.112','0.100','0.078','0.054','0.034','0.019','9.996','0.086',
"24",'9.967','9.943','9.901','9.868','9.831','9.791','9.757','9.739','9.715','9.688','9.675','9.663','9.623','9.611','9.601','9.599','9.599','9.607','9.602','9.599','9.601','9.600','9.596','9.595','9.699',
"25",'9.591','9.583','9.561','9.541','9.529','9.511','9.493','9.485','9.463','9.450','9.434','9.413','9.400','9.380','9.358','9.349','9.341','9.328','9.329','9.330','9.326','9.330','9.326','9.324','9.424',
"26",'9.318','9.309','9.307','9.293','9.294','9.289','9.292','9.294','9.295','9.300','9.291','9.289','9.280','9.270','9.258','9.254','9.246','9.251','9.244','9.243','9.236','9.230','9.233','9.238','9.273',
"27",'9.231','9.228','9.211','9.210','9.221','9.232','9.246','9.264','9.274','9.302','9.309','9.333','9.343','9.359','9.361','9.385','9.399','9.421','9.439','9.459','9.467','9.483','9.479','9.481','9.339',
"28",'9.483','9.486','9.482','9.478','9.478','9.487','9.486','9.478','9.468','9.452','9.449','9.431','9.414','9.397','9.375','9.357','9.332','9.323','9.299','9.269','9.251','9.225','9.197','9.189','9.387',
Mean,'9.744','9.753','9.748','9.757','9.752','9.742','9.739','9.731','9.725','9.703','9.694','9.658','9.620','9.557','9.515','9.464','9.419','9.368','9.326','9.296','9.280','9.290','9.296','9.341','9.563',
