"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.863','9.837','9.821','9.799','9.779','9.763','9.763','9.769','9.769','9.769','9.776','9.776','9.760','9.756','9.754','9.767','9.779','9.786','9.794','9.814','9.826','9.836','9.860','9.880','9.796',
"2",'9.901','9.922','9.936','9.950','9.946','9.958','9.970','9.992','0.002','0.004','0.011','0.003','9.993','9.988','9.989','9.999','9.999','0.015','0.019','0.023','0.019','0.019','0.017','0.013','9.987',
"3",'0.007','0.009','0.007','0.001','9.995','9.997','0.007','0.021','0.029','0.039','0.045','0.034','0.035','0.010','0.011','0.013','0.020','0.023','0.033','0.033','0.023','0.023','0.011','0.011','0.018',
"4",'9.993','9.980','9.975','9.967','9.947','9.931','9.911','9.915','9.907','9.911','9.896','9.884','9.864','9.842','9.829','9.833','9.836','9.838','9.832','9.832','9.830','9.830','9.824','9.819','9.884',
"5",'9.808','9.804','9.808','9.808','9.802','9.803','9.802','9.810','9.814','9.816','9.820','9.816','9.808','9.796','9.792','9.792','9.812','9.824','9.840','9.842','9.861','9.876','9.864','9.878','9.821',
"6",'9.910','9.912','9.912','9.924','9.934','9.953','9.962','9.972','9.994','0.000','0.012','0.008','0.006','9.988','9.982','9.990','9.992','9.988','9.990','9.990','9.978','9.967','9.955','9.938','9.969',
"7",'9.914','9.892','9.866','9.850','9.837','9.830','9.828','9.844','9.842','9.844','9.841','9.827','9.821','9.803','9.805','9.806','9.827','9.833','9.839','9.861','9.873','9.890','9.893','9.913','9.849',
"8",'9.901','9.895','9.877','9.880','9.879','9.877','9.879','9.895','9.911','9.909','9.920','9.912','9.903','9.892','9.890','9.898','9.892','9.887','9.890','9.898','9.906','9.906','9.916','9.920','9.897',
"9",'9.910','9.906','9.900','9.894','9.886','9.886','9.888','9.892','9.898','9.902','9.904','9.901','9.887','9.877','9.869','9.864','9.867','9.871','9.875','9.873','9.873','9.867','9.871','9.866','9.884',
"10",'9.847','9.829','9.821','9.803','9.791','9.777','9.757','9.745','9.743','9.731','9.712','9.706','9.666','9.636','9.621','9.604','9.583','9.574','9.571','9.554','9.542','9.530','9.516','9.508','9.674',
