'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.141','0.125','0.125','0.125','0.121','0.127','0.133','0.128','0.121','0.116','0.117','0.103','0.079','0.071','0.059','0.065','0.066','0.074','0.075','0.073','0.077','0.055','0.043','0.021','0.093'
'    2','0.013','9.985','9.965','9.987','9.983','9.995','0.007','0.051','0.055','0.066','0.058','0.056','0.070','0.076','0.082','0.107','0.102','0.103','0.107','0.128','0.156','0.166','0.186','0.206','0.071'
'    3','0.206','0.202','0.207','0.200','0.194','0.186','0.182','0.171','0.154','0.128','0.106','0.084','0.051','0.026','0.017','0.001','9.992','9.995','0.003','0.015','0.031','0.031','0.035','0.048','0.094'
'    4','0.039','0.036','0.032','0.036','0.036','0.034','0.030','0.022','0.019','0.002','9.995','9.993','9.969','9.962','9.945','9.949','9.939','9.936','9.932','9.929','9.931','9.931','9.915','9.915','9.980'
'    5','9.909','9.894','9.891','9.885','9.884','9.882','9.879','9.882','9.876','9.868','9.858','9.860','9.852','9.854','9.849','9.835','9.824','9.826','9.824','9.830','9.822','9.816','9.814','9.805','9.855'
'    6','9.784','9.776','9.760','9.749','9.740','9.732','9.716','9.712','9.703','9.692','9.667','9.649','9.627','9.605','9.575','9.553','9.537','9.533','9.529','9.527','9.523','9.521','9.517','9.511','9.635'
'    7','9.507','9.503','9.502','9.515','9.529','9.553','9.558','9.580','9.585','9.595','9.599','9.602','9.598','9.594','9.588','9.597','9.610','9.616','9.618','9.630','9.644','9.664','9.666','9.691','9.589'
'    8','9.706','9.718','9.734','9.746','9.754','9.770','9.782','9.802','9.814','9.826','9.833','9.836','9.837','9.831','9.821','9.824','9.823','9.831','9.837','9.849','9.859','9.869','9.873','9.875','9.810'
'    9','9.870','9.873','9.877','9.877','9.877','9.888','9.891','9.891','9.887','9.884','9.887','9.879','9.883','9.882','9.877','9.881','9.881','9.888','9.889','9.898','9.908','9.921','9.922','9.927','9.889'
'   10','9.921','9.929','9.919','9.915','9.910','9.909','9.899','9.893','9.885','9.870','9.852','9.835','9.823','9.801','9.789','9.773','9.765','9.757','9.753','9.753','9.756','9.763','9.765','9.760','9.833'
'   11','9.752','9.745','9.736','9.723','9.721','9.721','9.715','9.715','9.719','9.715','9.705','9.702','9.691','9.670','9.651','9.661','9.658','9.654','9.650','9.647','9.646','9.636','9.632','9.622','9.687'
'   12','9.610','9.598','9.588','9.578','9.571','9.578','9.576','9.574','9.572','9.576','9.571','9.560','9.558','9.536','9.542','9.536','9.544','9.549','9.558','9.560','9.565','9.572','9.572','9.578','9.568'
'   13','9.577','9.584','9.586','9.586','9.592','9.604','9.608','9.619','9.626','9.634','9.634','9.640','9.639','9.642','9.636','9.636','9.640','9.648','9.668','9.678','9.680','9.698','9.708','9.716','9.637'
'   14','9.707','9.707','9.710','9.714','9.720','9.726','9.720','9.723','9.718','9.712','9.709','9.707','9.705','9.707','9.707','9.708','9.705','9.702','9.707','9.719','9.719','9.719','9.721','9.710','9.713'
