'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.689','9.689','9.689','9.686','9.689','9.696','9.702','9.724','9.738','9.758','9.783','9.788','9.801','9.813','9.823','9.851','9.885','9.899','9.925','9.945','9.950','9.974','9.989','9.987','9.811'
'    2','9.983','9.988','9.983','9.983','9.971','9.971','9.971','9.969','9.965','9.973','9.946','9.937','9.929','9.899','9.889','9.869','9.850','9.815','9.789','9.753','9.719','9.681','9.625','9.582','9.877'
'    3','9.515','9.474','9.420','9.376','9.312','9.262','9.220','9.174','9.152','9.168','9.189','9.203','9.205','9.205','9.195','9.187','9.179','9.165','9.151','9.147','9.123','9.113','9.087','9.073','9.221'
'    4','9.065','9.057','9.043','9.025','9.018','9.031','9.041','9.049','9.053','9.056','9.066','9.061','9.063','9.063','9.067','9.069','9.079','9.089','9.090','9.107','9.099','9.103','9.103','9.107','9.067'
'    5','9.108','9.102','9.094','9.088','9.092','9.094','9.096','9.099','9.104','9.112','9.112','9.108','9.107','9.109','9.113','9.131','9.151','9.175','9.195','9.207','9.227','9.243','9.251','9.261','9.141'
'    6','9.269','9.277','9.283','9.287','9.293','9.305','9.321','9.343','9.357','9.365','9.379','9.377','9.383','9.393','9.395','9.399','9.405','9.399','9.397','9.389','9.370','9.349','9.333','9.291','9.348'
'    7','9.254','9.200','9.146','9.086','9.014','8.944','8.900','8.844','8.809','8.796','8.798','8.804','8.786','8.782','8.776','8.770','8.768','8.770','8.764','8.766','8.752','8.740','8.728','8.724','8.863'
'    8','8.714','8.724','8.732','8.742','8.750','8.770','8.790','8.820','8.841','8.872','8.888','8.914','8.938','8.966','8.988','9.020','9.052','9.070','9.078','9.096','9.106','9.116','9.108','9.116','8.925'
'    9','9.106','9.084','9.063','9.048','9.014','8.996','8.972','8.948','8.942','8.920','8.910','8.886','8.872','8.878','8.878','8.892','8.896','8.904','8.908','8.914','8.914','8.920','8.924','8.930','8.947'
'   10','8.927','8.928','8.934','8.936','8.942','8.950','8.964','8.976','8.982','8.998','9.006','9.002','9.002','8.996','8.994','9.004','9.006','9.010','9.010','9.010','9.008','9.004','9.002','9.004','8.983'
'   11','9.000','8.998','8.998','9.004','8.998','9.006','9.008','9.016','9.030','9.046','9.054','9.060','9.063','9.078','9.086','9.112','9.127','9.144','9.160','9.180','9.192','9.204','9.217','9.228','9.084'
