'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.373','9.389','9.391','9.401','9.405','9.423','9.433','9.445','9.449','9.469','9.475','9.479','9.483','9.493','9.499','9.537','9.525','9.518','9.519','9.503','9.482','9.476','9.469','9.461','9.462'
'    2','9.456','9.447','9.440','9.437','9.446','9.459','9.474','9.490','9.504','9.518','9.531','9.541','9.549','9.571','9.581','9.597','9.623','9.657','9.685','9.718','9.749','9.775','9.796','9.813','9.577'
'    3','9.829','9.841','9.849','9.861','9.880','9.899','9.907','9.923','9.939','9.949','9.967','9.977','9.981','9.977','9.981','9.982','9.985','9.983','9.981','9.975','9.987','9.984','9.980','9.974','9.941'
'    4','9.961','9.943','9.933','9.928','9.914','9.919','9.908','9.903','9.893','9.885','9.875','9.873','9.852','9.842','9.809','9.791','9.794','9.789','9.782','9.781','9.769','9.787','9.815','9.823','9.857'
'    5','9.839','9.855','9.865','9.882','9.891','9.901','9.905','9.907','9.925','9.932','9.939','9.951','9.961','9.967','9.973','9.978','9.991','0.003','0.021','0.036','0.061','0.077','0.100','0.113','9.961'
'    6','0.124','0.143','0.159','0.178','0.196','0.227','0.249','0.271','0.279','0.287','0.299','0.315','0.316','0.327','0.333','0.333','0.338','0.345','0.359','0.375','0.379','0.387','0.389','0.389','0.292'
'    7','0.391','0.386','0.381','0.380','0.384','0.384','0.376','0.374','0.366','0.357','0.347','0.349','0.337','0.329','0.315','0.305','0.294','0.287','0.287','0.281','0.285','0.279','0.273','0.262','0.334'
'    8','0.243','0.228','0.219','0.214','0.213','0.213','0.211','0.205','0.195','0.171','0.145','0.131','0.107','0.083','0.062','0.045','0.031','0.029','0.023','0.009','0.013','9.990','9.967','9.947','0.112'
'    9','9.930','9.910','9.892','9.892','9.884','9.878','9.862','9.856','9.828','9.828','9.833','9.821','9.809','9.815','9.804','9.808','9.813','9.819','9.833','9.836','9.839','9.842','9.850','9.843','9.847'
'   10','9.831','9.831','9.834','9.825','9.823','9.835','9.837','9.834','9.823','9.810','9.791','9.796','9.783','9.767','9.743','9.722','9.694','9.686','9.661','9.639','9.623','9.609','9.616','9.597','9.750'
'   11','9.578','9.589','9.586','9.619','9.643','9.683','9.715','9.727','9.739','9.749','9.733','9.788','9.754','9.766','9.780','9.789','9.786','9.793','9.796','9.798','9.799','9.813','9.811','9.805','9.735'
'   12','9.805','9.792','9.779','9.784','9.769','9.761','9.749','9.744','9.723','9.721','9.702','9.692','9.682','9.675','9.651','9.653','9.633','9.634','9.619','9.588','9.582','9.576','9.560','9.518','9.683'
'   13','9.473','9.431','9.395','9.382','9.377','9.372','9.373','9.379','9.390','9.397','9.411','9.415','9.423','9.436','9.453','9.465','9.485','9.513','9.533','9.548','9.574','9.598','9.612','9.636','9.461'
'   14','9.658','9.681','9.688','9.709','9.742','9.773','9.796','9.813','9.828','9.843','9.844','9.843','9.853','9.857','9.873','9.882','9.896','9.909','9.923','9.941','9.962','9.977','9.987','9.986','9.844'
'   15','9.957','0.000','0.004','0.015','0.016','0.029','0.027','0.027','0.025','0.021','0.015','0.021','0.021','0.021','0.016','0.021','0.015','0.007','0.003','9.991','9.995','9.985','9.983','9.973','0.008'
'   16','9.971','9.965','9.969','9.959','9.962','9.967','9.970','9.975','9.979','9.985','9.986','9.994','0.006','0.010','0.006','0.001','0.014','0.023','0.038','0.042','0.068','0.076','0.084','0.087','0.006'
'   17','0.078','0.070','0.064','0.056','0.056','0.056','0.064','0.060','0.064','0.070','0.054','0.051','0.052','0.040','0.048','0.039','0.046','0.046','0.050','0.063','0.078','0.092','0.110','0.118','0.064'
'   18','0.121','0.120','0.126','0.151','0.154','0.142','0.150','0.152','0.158','0.149','0.145','0.142','0.139','0.131','0.128','0.123','0.122','0.121','0.128','0.129','0.123','0.121','0.119','0.106','0.133'
'   19','0.101','0.088','0.077','0.057','0.046','0.030','0.010','9.987','9.964','9.966','9.946','9.916','9.906','9.890','9.906','9.886','9.886','9.872','9.880','9.880','9.880','9.888','9.888','9.894','9.952'
'   20','9.898','9.892','9.880','9.881','9.877','9.870','9.868','9.857','9.852','9.840','9.830','9.792','9.780','9.769','9.756','9.736','9.724','9.758','9.782','9.778','9.776','9.771','9.774','9.768','9.813'
'   21','9.756','9.739','9.734','9.721','9.735','9.743','9.757','9.761','9.773','9.785','9.794','9.825','9.831','9.837','9.833','9.845','9.851','9.845','9.853','9.850','9.869','9.871','9.862','9.867','9.806'
'   22','9.849','9.848','9.843','9.835','9.837','9.839','9.840','9.839','9.843','9.847','9.840','9.822','9.836','9.823','9.808','9.792','9.772','9.761','9.746','9.732','9.726','9.720','9.700','9.648','9.798'
'   23','9.618','9.569','9.531','9.492','9.497','9.475','9.471','9.468','9.473','9.471','9.480','9.475','9.477','9.475','9.493','9.511','9.559','9.589','9.632','9.680','9.725','9.747','9.773','9.799','9.562'
'   24','9.828','9.851','9.876','9.903','9.927','9.959','9.986','0.003','0.037','0.063','0.082','0.112','0.140','0.155','0.169','0.192','0.202','0.224','0.244','0.264','0.286','0.312','0.318','0.329','0.103'
'   25','0.341','0.345','0.346','0.353','0.361','0.371','0.393','0.395','0.396','0.403','0.405','0.415','0.417','0.423','0.426','0.425','0.426','0.427','0.425','0.427','0.428','0.431','0.430','0.430','0.402'
