'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.124','0.113','0.114','0.114','0.117','0.122','0.142','0.143','0.148','0.169','0.166','0.178','0.180','0.178','0.178','0.178','0.182','0.193','0.203','0.206','0.204','0.214','0.218','0.214','0.167'
'    2','0.217','0.213','0.217','0.209','0.209','0.216','0.222','0.233','0.242','0.252','0.253','0.260','0.265','0.258','0.261','0.253','0.261','0.269','0.273','0.279','0.277','0.277','0.280','0.289','0.249'
'    3','0.291','0.286','0.279','0.277','0.277','0.283','0.293','0.303','0.311','0.315','0.315','0.315','0.313','0.310','0.303','0.299','0.303','0.311','0.322','0.328','0.337','0.341','0.344','0.345','0.308'
'    4','0.349','0.347','0.353','0.357','0.361','0.365','0.380','0.387','0.399','0.401','0.399','0.401','0.392','0.378','0.364','0.360','0.360','0.367','0.378','0.386','0.396','0.396','0.394','0.392','0.378'
'    5','0.386','0.374','0.360','0.355','0.354','0.354','0.356','0.346','0.339','0.332','0.311','0.295','0.281','0.263','0.251','0.243','0.235','0.245','0.241','0.243','0.236','0.232','0.227','0.223','0.295'
'    6','0.219','0.207','0.205','0.201','0.199','0.203','0.201','0.207','0.206','0.188','0.169','0.159','0.151','0.132','0.119','0.116','0.123','0.133','0.139','0.143','0.141','0.139','0.139','0.141','0.166'
'    7','0.135','0.118','0.108','0.094','0.080','0.080','0.078','0.080','0.076','0.064','0.055','0.042','0.024','0.006','9.992','9.991','9.986','9.990','9.992','0.004','0.004','0.013','0.005','0.004','0.043'
'    8','9.981','9.977','9.971','9.979','9.963','9.949','9.951','9.957','9.953','9.961','9.955','9.959','9.947','9.953','9.943','9.933','9.929','9.943','9.949','9.959','9.959','9.955','9.960','9.955','9.956'
'    9','9.956','9.950','9.944','9.954','9.951','9.942','9.940','9.946','9.954','9.950','9.946','9.954','9.954','9.952','9.950','9.960','9.966','9.978','9.978','9.978','9.984','9.990','9.996','0.002','9.961'
'   10','0.006','0.010','0.014','0.017','0.026','0.040','0.050','0.070','0.076','0.079','0.074','0.077','0.068','0.068','0.059','0.066','0.071','0.085','0.086','0.092','0.093','0.094','0.096','0.097','0.063'
'   11','0.092','0.094','0.094','0.098','0.101','0.110','0.120','0.124','0.133','0.134','0.134','0.132','0.126','0.116','0.108','0.100','0.104','0.114','0.129','0.144','0.152','0.152','0.143','0.137','0.120'
'   12','0.128','0.119','0.116','0.114','0.102','0.096','0.092','0.099','0.097','0.092','0.076','0.058','0.030','0.014','9.998','9.984','9.976','9.984','9.996','9.990','9.984','9.972','9.954','9.951','0.043'
'   13','9.960','9.956','9.954','9.948','9.944','9.940','9.936','9.932','9.940','9.944','9.933','9.925','9.912','9.910','9.892','9.885','9.869','9.867','9.873','9.875','9.869','9.869','9.861','9.855','9.910'
'   14','9.839','9.817','9.811','9.795','9.779','9.767','9.757','9.756','9.753','9.738','9.733','9.716','9.703','9.691','9.688','9.681','9.677','9.679','9.679','9.667','9.673','9.663','9.647','9.625','9.722'
'   15','9.621','9.604','9.587','9.566','9.556','9.555','9.545','9.541','9.537','9.529','9.513','9.507','9.505','9.495','9.471','9.479','9.471','9.473','9.467','9.474','9.463','9.457','9.457','9.446','9.513'
'   16','9.445','9.438','9.428','9.419','9.417','9.429','9.433','9.443','9.447','9.439','9.441','9.429','9.423','9.401','9.396','9.391','9.398','9.405','9.403','9.401','9.396','9.392','9.386','9.377','9.416'
'   17','9.369','9.348','9.325','9.313','9.307','9.308','9.309','9.325','9.333','9.325','9.304','9.310','9.304','9.298','9.300','9.306','9.316','9.328','9.336','9.328','9.320','9.318','9.316','9.311','9.319'
'   18','9.318','9.320','9.319','9.322','9.336','9.358','9.372','9.387','9.404','9.421','9.424','9.426','9.438','9.450','9.460','9.474','9.488','9.498','9.499','9.500','9.506','9.505','9.510','9.504','9.427'
'   19','9.506','9.506','9.507','9.516','9.522','9.536','9.548','9.554','9.560','9.568','9.573','9.587','9.575','9.575','9.575','9.578','9.597','9.615','9.615','9.617','9.617','9.609','9.613','9.616','9.570'
