"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.891','9.888','9.878','9.866','9.856','9.854','9.850','9.844','9.834','9.834','9.829','9.829','9.835','9.831','9.837','9.849','9.859','9.871','9.883','9.895','9.909','9.923','9.937','9.945','9.868',
"2",'9.961','9.957','9.963','9.959','9.967','9.974','9.979','9.981','9.977','9.977','9.976','9.972','9.966','9.946','9.932','9.922','9.916','9.916','9.922','9.910','9.910','9.910','9.902','9.890','9.945',
"3",'9.874','9.856','9.840','9.834','9.828','9.816','9.816','9.816','9.816','9.818','9.829','9.847','9.859','9.873','9.889','9.897','9.899','9.917','9.929','9.937','9.927','9.905','9.877','9.857','9.865',
"4",'9.823','9.777','9.745','9.693','9.647','9.623','9.599','9.585','9.589','9.575','9.566','9.554','9.514','9.498','9.506','9.470','9.458','9.474','9.458','9.500','9.504','9.526','9.540','9.548','9.574',
"5",'9.546','9.558','9.588','9.624','9.652','9.696','9.732','9.762','9.768','9.778','9.740','9.721','9.699','9.636','9.615','9.578','9.697','9.703','9.715','9.741','9.751','9.759','9.769','9.783','9.692',
"6",'9.795','9.805','9.825','9.831','9.841','9.841','9.853','9.869','9.857','9.851','9.814','9.786','9.756','9.716','9.676','9.616','9.554','9.500','9.424','9.320','9.248','9.202','9.170','9.170','9.638',
"7",'9.146','9.128','9.126','9.134','9.144','9.166','9.194','9.236','9.284','9.344','9.399','9.453','9.518','9.555','9.567','9.582','9.583','9.587','9.599','9.599','9.583','9.557','9.551','9.547','9.399',
"8",'9.539','9.517','9.503','9.487','9.491','9.511','9.532','9.555','9.581','9.595','9.608','9.627','9.651','9.661','9.685','9.707','9.723','9.739','9.766','9.791','9.807','9.825','9.827','9.837','9.649',
"9",'9.835','9.829','9.823','9.820','9.814','9.805','9.798','9.787','9.773','9.759','9.737','9.713','9.697','9.671','9.649','9.629','9.599','9.593','9.581','9.567','9.564','9.549','9.547','9.531','9.695',
"10",'9.519','9.509','9.501','9.505','9.517','9.529','9.541','9.558','9.573','9.587','9.584','9.582','9.594','9.608','9.602','9.612','9.638','9.648','9.676','9.692','9.704','9.734','9.750','9.762','9.605',
"11",'9.781','9.787','9.793','9.805','9.811','9.839','9.847','9.859','9.876','9.877','9.872','9.884','9.886','9.888','9.878','9.865','9.872','9.884','9.884','9.881','9.878','9.874','9.858','9.846','9.855',
"12",'9.827','9.809','9.783','9.755','9.736','9.715','9.686','9.659','9.621','9.597','9.559','9.528','9.492','9.455','9.412','9.380','9.348','9.320','9.299','9.280','9.239','9.199','9.174','9.142','9.501',
"13",'9.107','9.075','9.041','9.029','9.019','9.025','9.025','9.025','9.029','9.031','9.022','9.028','9.024','9.014','9.016','9.026','9.032','9.046','9.064','9.084','9.099','9.112','9.128','9.156','9.052',
"14",'9.177','9.192','9.215','9.229','9.261','9.289','9.316','9.339','9.361','9.365','9.370','9.384','9.398','9.410','9.414','9.432','9.440','9.462','9.492','9.510','9.522','9.536','9.538','9.542','9.383',
"15",'9.556','9.556','9.553','9.548','9.552','9.573','9.593','9.600','9.600','9.610','9.598','9.594','9.606','9.602','9.606','9.606','9.612','9.632','9.650','9.676','9.688','9.697','9.706','9.720','9.614',
"16",'9.729','9.737','9.743','9.753','9.765','9.781','9.795','9.807','9.807','9.811','9.802','9.802','9.802','9.804','9.812','9.806','9.810','9.826','9.834','9.844','9.858','9.860','9.866','9.864','9.805',
"17",'9.864','9.860','9.854','9.852','9.857','9.866','9.866','9.872','9.870','9.873','9.867','9.865','9.859','9.869','9.874','9.879','9.887','9.899','9.909','9.929','9.943','9.947','9.959','9.965','9.887',
"18",'9.967','9.973','9.979','9.983','9.985','9.991','9.997','9.997','9.989','9.987','9.976','9.962','9.944','9.936','9.924','9.896','9.866','9.832','9.794','9.776','9.760','9.752','9.738','9.717','9.905',
"19",'9.724','9.721','9.714','9.730','9.742','9.755','9.788','9.814','9.838','9.876','9.896','9.921','9.935','9.947','9.957','9.967','9.977','9.985','9.999','0.017','0.029','0.043','0.049','0.055','9.895',
"20",'0.059','0.059','0.061','0.061','0.063','0.071','0.081','0.083','0.081','0.085','0.088','0.088','0.090','0.088','0.078','0.068','0.066','0.068','0.074','0.090','0.094','0.094','0.086','0.086','0.078',
"21",'0.082','0.068','0.060','0.054','0.044','0.038','0.028','0.012','0.010','0.006','0.007','9.993','9.995','0.003','0.005','0.041','0.057','0.067','0.087','0.115','0.133','0.155','0.169','0.181','0.059',
"22",'0.189','0.201','0.201','0.201','0.207','0.229','0.227','0.235','0.239','0.241','0.218','0.215','0.210','0.207','0.192','0.186','0.182','0.178','0.178','0.182','0.182','0.174','0.168','0.162','0.200',
"23",'0.141','0.120','0.100','0.084','0.074','0.068','0.060','0.038','0.024','0.004','9.983','9.957','9.929','9.907','9.879','9.846','9.823','9.805','9.781','9.755','9.734','9.713','9.703','9.695','9.926',
"24",'9.678','9.660','9.646','9.626','9.612','9.600','9.591','9.578','9.564','9.552','9.537','9.523','9.505','9.485','9.461','9.445','9.425','9.413','9.403','9.393','9.377','9.363','9.342','9.319','9.504',
"25",'9.307','9.293','9.293','9.297','9.321','9.345','9.351','9.357','9.367','9.369','9.376','9.372','9.376','9.372','9.370','9.370','9.370','9.382','9.399','9.428','9.440','9.456','9.474','9.496','9.374',
"26",'9.510','9.530','9.546','9.564','9.592','9.616','9.634','9.648','9.660','9.676','9.681','9.691','9.697','9.709','9.721','9.727','9.738','9.745','9.765','9.791','9.817','9.835','9.839','9.851','9.691',
"27",'9.853','9.853','9.855','9.857','9.859','9.861','9.855','9.855','9.851','9.839','9.834','9.830','9.824','9.818','9.813','9.806','9.790','9.766','9.764','9.754','9.742','9.722','9.710','9.698','9.809',
"28",'9.682','9.666','9.654','9.644','9.643','9.640','9.628','9.630','9.624','9.614','9.609','9.603','9.595','9.589','9.579','9.569','9.551','9.543','9.539','9.539','9.545','9.545','9.553','9.543','9.597',
"29",'9.539','9.525','9.521','9.517','9.531','9.557','9.575','9.597','9.621','9.639','9.647','9.665','9.693','9.717','9.741','9.769','9.789','9.813','9.861','9.899','9.931','9.963','9.991','0.021','9.713',
"30",'0.040','0.048','0.062','0.078','0.102','0.110','0.126','0.146','0.156','0.162','0.170','0.178','0.175','0.168','0.162','0.165','0.155','0.150','0.146','0.158','0.158','0.156','0.142','0.122','0.135',
Mean,'9.891','9.888','9.878','9.866','9.856','9.854','9.850','9.844','9.834','9.834','9.829','9.829','9.835','9.831','9.837','9.849','9.859','9.871','9.883','9.895','9.909','9.923','9.937','9.945','9.868',
