"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.519','9.513','9.515','9.505','9.499','9.491','9.488','9.473','9.465','9.447','9.416','9.370','9.328','9.299','9.240','9.170','9.099','9.014','8.934','8.864','8.783','8.742','8.690','8.686','9.231',
"2",'8.690','8.716','8.730','8.730','8.746','8.764','8.784','8.802','8.844','8.899','8.983','9.029','9.089','9.141','9.179','9.225','9.265','9.313','9.359','9.408','9.465','9.515','9.543','9.577','9.075',
"3",'9.602','9.626','9.642','9.648','9.642','9.644','9.616','9.584','9.566','9.550','9.532','9.528','9.514','9.514','9.510','9.514','9.514','9.508','9.512','9.524','9.516','9.512','9.511','9.520','9.556',
"4",'9.511','9.516','9.481','9.468','9.445','9.436','9.438','9.458','9.468','9.463','9.454','9.452','9.428','9.414','9.394','9.378','9.348','9.350','9.342','9.333','9.330','9.360','9.394','9.442','9.421',
"5",'9.491','9.571','9.641','9.718','9.795','9.853','9.919','9.979','0.022','0.073','0.105','0.111','0.109','0.113','0.107','0.089','0.077','0.087','0.089','0.089','0.071','0.068','0.053','0.055','9.970',
"6",'0.050','0.050','0.066','0.074','0.092','0.116','0.110','0.130','0.174','0.182','0.202','0.216','0.206','0.232','0.228','0.244','0.256','0.270','0.282','0.272','0.272','0.262','0.252','0.250','0.187',
"7",'0.242','0.256','0.262','0.266','0.258','0.256','0.248','0.252','0.254','0.264','0.259','0.267','0.269','0.271','0.267','0.273','0.268','0.265','0.261','0.251','0.257','0.245','0.239','0.233','0.258',
"8",'0.235','0.237','0.237','0.237','0.219','0.221','0.207','0.223','0.223','0.229','0.215','0.203','0.179','0.159','0.137','0.123','0.099','0.067','0.049','0.023','9.983','9.949','9.927','9.900','0.137',
"9",'9.863','9.811','9.787','9.749','9.713','9.665','9.613','9.581','9.555','9.636','9.650','9.626','9.614','9.592','9.588','9.608','9.602','9.632','9.638','9.692','9.718','9.732','9.744','9.742','9.673',
"10",'9.732','9.736','9.760','9.762','9.772','9.760','9.764','9.776','9.780','9.790','9.798','9.807','9.810','9.820','9.835','9.854','9.866','9.882','9.910','9.920','9.940','9.962','9.974','9.996','9.834',
"11",'0.012','0.026','0.038','0.055','0.068','0.080','0.102','0.127','0.148','0.184','0.196','0.188','0.188','0.188','0.186','0.188','0.188','0.182','0.192','0.184','0.169','0.154','0.142','0.128','0.138',
"12",'0.128','0.096','0.085','0.060','0.038','0.016','0.006','0.002','9.998','9.998','9.988','9.980','0.002','0.016','0.038','0.072','0.092','0.134','0.160','0.186','0.214','0.234','0.242','0.274','0.086',
"13",'0.284','0.292','0.296','0.310','0.328','0.346','0.358','0.384','0.402','0.420','0.437','0.451','0.455','0.459','0.458','0.479','0.488','0.509','0.531','0.549','0.565','0.579','0.582','0.597','0.440',
"14",'0.606','0.609','0.632','0.646','0.650','0.667','0.678','0.692','0.718','0.732','0.752','0.748','0.733','0.717','0.691','0.687','0.715','0.703','0.703','0.709','0.687','0.689','0.665','0.631','0.686',
"15",'0.587','0.571','0.546','0.539','0.531','0.515','0.493','0.511','0.529','0.525','0.513','0.511','0.503','0.516','0.524','0.522','0.526','0.522','0.514','0.516','0.510','0.514','0.512','0.503','0.523',
"16",'0.490','0.504','0.510','0.524','0.536','0.540','0.548','0.560','0.566','0.580','0.569','0.573','0.575','0.573','0.567','0.569','0.559','0.555','0.563','0.579','0.578','0.575','0.561','0.557','0.555',
"17",'0.544','0.546','0.518','0.512','0.478','0.464','0.452','0.436','0.442','0.434','0.428','0.406','0.382','0.360','0.344','0.340','0.328','0.318','0.318','0.318','0.320','0.308','0.302','0.302','0.400',
"18",'0.293','0.293','0.287','0.281','0.283','0.275','0.269','0.271','0.275','0.277','0.279','0.281','0.265','0.255','0.245','0.241','0.229','0.231','0.213','0.225','0.217','0.203','0.189','0.171','0.252',
"19",'0.157','0.135','0.127','0.109','0.104','0.076','0.057','0.051','0.043','0.035','0.055','0.039','0.005','9.960','9.928','9.908','9.864','9.851','9.842','9.830','9.802','9.774','9.746','9.716','9.967',
