"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'0.098','0.078','0.052','0.038','0.014','9.990','9.960','9.938','9.913','9.884','9.864','9.858','9.848','9.841','9.839','9.830','9.828','9.838','9.836','9.854','9.872','9.886','9.902','9.914','9.916',
"2",'9.926','9.920','9.932','9.941','9.950','9.960','9.968','9.988','9.986','9.977','9.982','9.999','0.014','0.016','0.022','0.030','0.028','0.030','0.048','0.068','0.078','0.100','0.112','0.128','0.008',
"3",'0.132','0.142','0.147','0.160','0.170','0.186','0.194','0.206','0.208','0.218','0.208','0.206','0.210','0.214','0.215','0.216','0.216','0.228','0.242','0.260','0.286','0.308','0.328','0.334','0.218',
"4",'0.338','0.340','0.346','0.356','0.366','0.384','0.386','0.388','0.384','0.380','0.372','0.352','0.353','0.352','0.343','0.333','0.337','0.352','0.364','0.384','0.398','0.406','0.414','0.416','0.368',
"5",'0.420','0.430','0.432','0.436','0.434','0.456','0.468','0.468','0.468','0.466','0.466','0.464','0.462','0.448','0.445','0.442','0.441','0.450','0.452','0.466','0.480','0.498','0.514','0.520','0.459',
"6",'0.526','0.538','0.542','0.546','0.546','0.552','0.548','0.548','0.540','0.532','0.512','0.510','0.492','0.482','0.470','0.456','0.447','0.441','0.446','0.460','0.466','0.478','0.486','0.492','0.502',
"7",'0.502','0.504','0.502','0.506','0.508','0.508','0.504','0.498','0.482','0.466','0.452','0.434','0.412','0.402','0.390','0.384','0.374','0.370','0.364','0.372','0.378','0.378','0.378','0.376','0.435',
"8",'0.383','0.371','0.365','0.359','0.353','0.341','0.333','0.319','0.305','0.287','0.276','0.256','0.228','0.200','0.177','0.155','0.137','0.133','0.134','0.143','0.152','0.166','0.176','0.180','0.247',
"9",'0.168','0.164','0.156','0.153','0.147','0.148','0.136','0.133','0.119','0.108','0.094','0.083','0.062','0.044','0.028','0.018','0.016','0.026','0.032','0.043','0.044','0.051','0.054','0.028','0.086',
"10",'0.018','0.014','0.003','9.998','9.996','9.997','0.001','9.996','9.990','9.980','9.974','9.972','9.974','9.972','9.963','9.955','9.962','9.960','9.965','9.975','9.990','9.992','9.992','9.995','9.985',
