'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.606','9.608','9.598','9.604','9.604','9.612','9.618','9.622','9.626','9.628','9.628','9.618','9.622','9.626','9.616','9.610','9.606','9.602','9.600','9.602','9.598','9.596','9.592','9.590','9.610'
'    2','9.581','9.571','9.561','9.557','9.553','9.561','9.567','9.573','9.577','9.583','9.590','9.604','9.606','9.604','9.609','9.618','9.632','9.652','9.674','9.700','9.720','9.738','9.746','9.762','9.622'
'    3','9.770','9.778','9.782','9.788','9.792','9.794','9.796','9.812','9.810','9.802','9.794','9.804','9.816','9.826','9.832','9.836','9.856','9.866','9.878','9.890','9.900','9.910','9.918','9.910','9.832'
'    4','9.908','9.898','9.870','9.854','9.846','9.830','9.824','9.830','9.814','9.800','9.797','9.771','9.765','9.749','9.733','9.703','9.693','9.685','9.673','9.665','9.659','9.655','9.649','9.639','9.763'
'    5','9.649','9.663','9.679','9.709','9.727','9.741','9.757','9.771','9.783','9.787','9.791','9.797','9.811','9.817','9.823','9.833','9.843','9.859','9.866','9.875','9.881','9.891','9.897','9.905','9.798'
'    6','9.905','9.905','9.903','9.899','9.905','9.909','9.909','9.919','9.923','9.937','9.938','9.951','9.939','9.939','9.938','9.947','9.947','9.949','9.957','9.969','9.969','9.971','9.973','9.971','9.936'
'    7','9.961','9.955','9.953','9.941','9.935','9.929','9.929','9.925','9.917','9.917','9.912','9.906','9.904','9.894','9.884','9.854','9.842','9.838','9.852','9.876','9.900','9.912','9.922','9.940','9.908'
'    8','9.957','9.975','9.961','9.971','9.985','0.011','0.025','0.043','0.051','0.051','0.049','0.061','0.073','0.094','0.089','0.091','0.095','0.101','0.107','0.121','0.125','0.125','0.123','0.113','0.058'
'    9','0.094','0.080','0.072','0.055','0.042','0.044','0.048','0.051','0.072','0.086','0.073','0.083','0.085','0.097','0.103','0.105','0.111','0.123','0.137','0.145','0.154','0.145','0.151','0.151','0.096'
'   10','0.151','0.149','0.155','0.148','0.155','0.147','0.163','0.181','0.187','0.195','0.185','0.189','0.187','0.183','0.185','0.177','0.175','0.179','0.181','0.185','0.183','0.181','0.175','0.177','0.174'
'   11','0.143','0.137','0.115','0.095','0.071','0.047','0.035','0.015','0.015','0.021','0.035','0.033','0.038','0.045','0.039','0.046','0.053','0.071','0.087','0.105','0.109','0.111','0.105','0.105','0.070'
'   12','0.093','0.093','0.083','0.075','0.071','0.075','0.071','0.075','0.079','0.069','0.060','0.060','0.058','0.050','0.036','0.044','0.040','0.042','0.046','0.048','0.041','0.034','0.024','0.020','0.058'
'   13','0.008','0.000','9.982','9.974','9.966','9.990','0.008','0.030','0.050','0.064','0.060','0.066','0.070','0.070','0.068','0.068','0.068','0.076','0.084','0.094','0.090','0.082','0.076','0.062','0.046'
'   14','0.043','0.018','0.007','9.985','9.977','9.969','9.967','9.973','9.963','9.963','9.975','9.975','9.981','9.987','9.991','9.992','0.005','0.021','0.040','0.055','0.055','0.059','0.063','0.053','0.005'
'   15','0.041','0.039','0.003','9.974','9.941','9.911','9.893','9.833','9.769','9.693','9.622','9.570','9.522','9.457','9.414','9.426','9.416','9.421','9.424','9.422','9.418','9.415','9.412','9.420','9.644'
'   16','9.428','9.422','9.430','9.444','9.466','9.492','9.524','9.564','9.598','9.616','9.625','9.647','9.657','9.665','9.665','9.679','9.686','9.705','9.719','9.721','9.719','9.705','9.695','9.665','9.606'
'   17','9.637','9.607','9.569','9.564','9.537','9.523','9.515','9.509','9.509','9.515','9.509','9.503','9.501','9.495','9.485','9.475','9.469','9.442','9.439','9.429','9.393','9.378','9.359','9.339','9.488'
'   18','9.321','9.329','9.297','9.311','9.287','9.289','9.316','9.347','9.344','9.355','9.364','9.382','9.411','9.420','9.437','9.456','9.486','9.504','9.522','9.522','9.521','9.512','9.508','9.493','9.406'
'   19','9.490','9.464','9.442','9.418','9.386','9.372','9.352','9.346','9.331','9.330','9.315','9.318','9.304','9.299','9.287','9.281','9.273','9.281','9.285','9.293','9.293','9.287','9.279','9.288','9.334'
'   20','9.282','9.279','9.283','9.287','9.287','9.292','9.315','9.331','9.355','9.379','9.390','9.404','9.420','9.432','9.454','9.486','9.518','9.545','9.567','9.587','9.600','9.618','9.624','9.642','9.432'
'   21','9.658','9.673','9.678','9.684','9.690','9.708','9.714','9.720','9.726','9.722','9.712','9.700','9.695','9.662','9.630','9.602','9.569','9.550','9.514','9.490','9.452','9.428','9.424','9.408','9.617'
