"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.843','9.849','9.851','9.865','9.880','9.890','9.909','9.927','9.937','9.943','9.950','9.948','9.952','9.944','9.939','9.946','9.950','9.944','9.938','9.936','9.932','9.944','9.943','9.940','9.921',
"2",'9.942','9.932','9.926','9.930','9.930','9.936','9.944','9.949','9.962','9.975','9.982','9.995','0.011','0.029','0.033','0.033','0.030','0.037','0.037','0.041','0.043','0.048','0.045','0.038','9.993',
"3",'0.027','0.018','0.023','0.021','0.017','0.025','0.017','0.023','0.035','0.034','0.048','0.049','0.041','0.046','0.036','0.026','0.015','0.007','0.014','0.004','0.006','0.009','9.994','9.984','0.022',
"4",'9.966','9.950','9.932','9.920','9.901','9.897','9.902','9.897','9.886','9.882','9.867','9.849','9.837','9.841','9.832','9.811','9.817','9.835','9.841','9.862','9.855','9.856','9.857','9.853','9.873',
"5",'9.839','9.832','9.826','9.825','9.825','9.833','9.823','9.821','9.827','9.830','9.823','9.831','9.841','9.857','9.857','9.845','9.847','9.847','9.851','9.861','9.862','9.857','9.855','9.851','9.840',
"6",'9.835','9.818','9.799','9.779','9.752','9.736','9.701','9.668','9.645','9.619','9.588','9.578','9.568','9.562','9.560','9.554','9.558','9.580','9.601','9.634','9.659','9.682','9.706','9.724','9.663',
"7",'9.744','9.782','9.796','9.820','9.844','9.870','9.886','9.911','9.928','9.948','9.956','9.976','9.982','0.004','0.010','0.029','0.034','0.045','0.057','0.070','0.092','0.108','0.116','0.120','9.964',
"8",'0.126','0.133','0.134','0.144','0.144','0.155','0.167','0.176','0.172','0.176','0.176','0.177','0.177','0.171','0.177','0.181','0.186','0.181','0.177','0.181','0.186','0.189','0.185','0.178','0.169',
"9",'0.171','0.168','0.152','0.136','0.132','0.132','0.123','0.114','0.103','0.095','0.084','0.069','0.069','0.062','0.046','0.028','0.028','0.021','0.022','0.022','0.023','0.018','0.015','0.010','0.077',
"10",'0.006','9.998','9.986','9.980','9.972','9.964','9.957','9.945','9.931','9.921','9.920','9.905','9.894','9.896','9.884','9.872','9.852','9.850','9.850','9.854','9.850','9.846','9.835','9.824','9.908',
