'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.045','0.027','0.011','9.993','9.993','9.979','9.979','9.977','9.965','9.944','9.941','9.927','9.924','9.916','9.910','9.902','9.886','9.873','9.864','9.848','9.832','9.824','9.804','9.796','9.923'
'    2','9.762','9.746','9.730','9.717','9.702','9.694','9.677','9.670','9.662','9.636','9.623','9.610','9.610','9.603','9.597','9.585','9.587','9.587','9.595','9.607','9.611','9.611','9.621','9.615','9.644'
'    3','9.609','9.600','9.604','9.603','9.606','9.613','9.604','9.599','9.598','9.595','9.593','9.588','9.600','9.594','9.597','9.594','9.596','9.596','9.610','9.615','9.625','9.636','9.641','9.650','9.607'
'    4','9.656','9.658','9.657','9.662','9.672','9.694','9.708','9.726','9.739','9.751','9.769','9.785','9.811','9.820','9.840','9.849','9.858','9.865','9.876','9.877','9.873','9.870','9.853','9.850','9.780'
'    5','9.830','9.794','9.764','9.720','9.678','9.642','9.584','9.532','9.515','9.482','9.463','9.452','9.447','9.433','9.427','9.427','9.429','9.447','9.457','9.470','9.495','9.507','9.527','9.551','9.545'
'    6','9.577','9.603','9.623','9.634','9.653','9.673','9.687','9.711','9.711','9.718','9.731','9.736','9.732','9.734','9.736','9.736','9.742','9.736','9.742','9.748','9.753','9.754','9.750','9.752','9.707'
'    7','9.752','9.748','9.747','9.748','9.748','9.750','9.750','9.750','9.740','9.732','9.720','9.716','9.714','9.712','9.711','9.708','9.703','9.705','9.705','9.710','9.721','9.728','9.732','9.738','9.729'
'    8','9.741','9.739','9.741','9.755','9.763','9.777','9.791','9.809','9.823','9.835','9.838','9.839','9.842','9.854','9.856','9.863','9.878','9.893','9.913','9.943','9.966','9.991','9.992','0.007','9.852'
'    9','0.014','0.028','0.034','0.042','0.056','0.074','0.074','0.086','0.084','0.083','0.077','0.064','0.062','0.056','0.058','0.050','0.049','0.042','0.032','0.026','0.002','9.979','9.942','9.911','0.039'
'   10','9.871','9.817','9.756','9.679','9.627','9.593','9.553','9.549','9.549','9.546','9.561','9.586','9.607','9.653','9.675','9.713','9.727','9.745','9.763','9.792','9.809','9.828','9.841','9.853','9.696'
'   11','9.865','9.879','9.879','9.881','9.885','9.888','9.903','9.913','9.917','9.925','9.919','9.921','9.924','9.923','9.905','9.893','9.879','9.879','9.885','9.879','9.879','9.895','9.889','9.887','9.895'
'   12','9.883','9.871','9.850','9.849','9.851','9.843','9.831','9.808','9.799','9.777','9.767','9.727','9.719','9.683','9.657','9.642','9.627','9.649','9.655','9.635','9.587','9.611','9.623','9.653','9.733'
'   13','9.681','9.695','9.709','9.720','9.733','9.755','9.767','9.789','9.806','9.821','9.826','9.831','9.840','9.841','9.843','9.848','9.851','9.845','9.861','9.895','9.907','9.936','9.929','9.929','9.819'
'   14','9.929','9.924','9.921','9.919','9.915','9.919','9.923','9.925','9.911','9.903','9.899','9.893','9.893','9.895','9.902','9.923','9.921','9.943','9.968','9.993','0.018','0.037','0.045','0.054','9.941'
'   15','0.061','0.059','0.069','0.069','0.081','0.090','0.096','0.102','0.099','0.093','0.096','0.092','0.088','0.080','0.073','0.064','0.060','0.064','0.067','0.080','0.090','0.092','0.094','0.084','0.081'
'   16','0.072','0.074','0.074','0.070','0.068','0.072','0.074','0.070','0.066','0.062','0.057','0.049','0.053','0.058','0.057','0.054','0.053','0.063','0.080','0.089','0.100','0.105','0.122','0.131','0.074'
'   17','0.129','0.134','0.133','0.148','0.153','0.169','0.181','0.187','0.181','0.181','0.186','0.187','0.181','0.183','0.175','0.169','0.165','0.167','0.171','0.189','0.193','0.205','0.211','0.208','0.174'
