'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.585','9.572','9.555','9.548','9.548','9.538','9.533','9.529','9.512','9.502','9.510','9.493','9.516','9.534','9.535','9.557','9.563','9.583','9.594','9.613','9.623','9.628','9.631','9.642','9.560'
'    2','9.653','9.664','9.667','9.673','9.683','9.690','9.699','9.706','9.714','9.714','9.717','9.722','9.713','9.722','9.726','9.730','9.731','9.740','9.741','9.748','9.756','9.763','9.757','9.750','9.716'
'    3','9.752','9.748','9.748','9.748','9.748','9.754','9.760','9.764','9.759','9.759','9.756','9.760','9.768','9.772','9.780','9.786','9.796','9.808','9.814','9.838','9.850','9.864','9.880','9.890','9.788'
'    4','9.898','9.898','9.898','9.898','9.900','9.900','9.902','9.897','9.888','9.882','9.880','9.864','9.860','9.844','9.826','9.800','9.780','9.758','9.740','9.720','9.699','9.694','9.692','9.693','9.825'
'    5','9.699','9.702','9.708','9.718','9.740','9.756','9.780','9.804','9.818','9.832','9.840','9.844','9.850','9.864','9.864','9.854','9.872','9.862','9.872','9.866','9.874','9.870','9.875','9.868','9.818'
'    6','9.858','9.852','9.844','9.844','9.838','9.838','9.840','9.830','9.804','9.782','9.783','9.782','9.800','9.809','9.833','9.839','9.845','9.863','9.867','9.889','9.914','9.924','9.927','9.933','9.847'
'    7','9.929','9.937','9.943','9.954','9.961','9.985','9.999','0.017','0.034','0.047','0.054','0.070','0.078','0.084','0.076','0.078','0.064','0.074','0.070','0.070','0.056','0.060','0.059','0.054','0.031'
'    8','0.041','0.032','0.023','0.004','0.004','0.000','9.992','0.008','0.014','0.022','0.023','0.023','0.035','0.043','0.045','0.059','0.060','0.070','0.073','0.083','0.101','0.115','0.129','0.133','0.047'
'    9','0.142','0.148','0.151','0.151','0.157','0.171','0.183','0.188','0.189','0.191','0.189','0.199','0.193','0.197','0.199','0.201','0.201','0.205','0.203','0.211','0.225','0.235','0.236','0.241','0.192'
'   10','0.232','0.232','0.233','0.240','0.238','0.256','0.258','0.262','0.256','0.260','0.275','0.267','0.263','0.251','0.241','0.237','0.229','0.229','0.223','0.225','0.227','0.229','0.229','0.225','0.242'
'   11','0.219','0.211','0.201','0.201','0.197','0.193','0.197','0.193','0.181','0.170','0.151','0.141','0.132','0.113','0.099','0.085','0.077','0.077','0.083','0.094','0.101','0.111','0.121','0.125','0.145'
'   12','0.121','0.119','0.121','0.113','0.103','0.095','0.087','0.079','0.075','0.059','0.051','0.051','0.039','0.027','0.007','9.991','9.983','9.973','9.971','9.961','9.967','9.957','9.971','9.971','0.037'
'   13','9.981','9.935','9.924','9.917','9.925','9.911','9.915','9.905','9.894','9.883','9.881','9.887','9.877','9.919','9.927','9.949','9.965','9.975','9.977','9.975','9.979','9.977','9.973','9.965','9.934'
'   14','9.953','9.947','9.945','9.941','9.933','9.913','9.907','9.905','9.897','9.883','9.883','9.863','9.851','9.837','9.805','9.773','9.741','9.701','9.685','9.707','9.719','9.721','9.735','9.733','9.832'
'   15','9.721','9.699','9.667','9.633','9.635','9.619','9.601','9.579','9.567','9.567','9.567','9.569','9.571','9.581','9.599','9.603','9.601','9.621','9.633','9.647','9.669','9.681','9.699','9.707','9.626'
'   16','9.726','9.748','9.768','9.784','9.799','9.822','9.852','9.874','9.896','9.932','9.944','9.979','9.998','0.019','0.027','0.047','0.067','0.095','0.113','0.123','0.143','0.161','0.171','0.190','9.970'
'   17','0.198','0.200','0.206','0.224','0.232','0.236','0.240','0.248','0.254','0.259','0.264','0.270','0.270','0.270','0.272','0.278','0.274','0.282','0.284','0.294','0.318','0.334','0.342','0.350','0.267'
'   18','0.355','0.357','0.357','0.357','0.361','0.371','0.367','0.359','0.347','0.339','0.330','0.316','0.298','0.288','0.274','0.256','0.246','0.240','0.236','0.238','0.246','0.244','0.246','0.246','0.303'
