"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.149','9.139','9.135','9.148','9.145','9.153','9.156','9.177','9.187','9.220','9.236','9.269','9.293','9.324','9.348','9.387','9.419','9.447','9.475','9.519','9.537','9.563','9.584','9.606','9.317',
"2",'9.637','9.666','9.679','9.687','9.701','9.715','9.721','9.734','9.727','9.725','9.704','9.673','9.636','9.591','9.539','9.495','9.453','9.397','9.379','9.333','9.275','9.225','9.185','9.099','9.541',
"3",'9.041','9.105','9.172','9.163','9.187','9.205','9.258','9.281','9.305','9.309','9.300','9.293','9.275','9.305','9.307','9.323','9.349','9.388','9.416','9.435','9.457','9.476','9.481','9.503','9.306',
"4",'9.501','9.498','9.507','9.522','9.533','9.561','9.585','9.613','9.637','9.666','9.684','9.706','9.709','9.726','9.730','9.739','9.747','9.762','9.773','9.772','9.774','9.774','9.762','9.736','9.667',
"5",'9.710','9.670','9.610','9.535','9.484','9.505','9.552','9.572','9.587','9.618','9.640','9.669','9.681','9.698','9.697','9.667','9.657','9.619','9.592','9.517','9.448','9.340','9.215','9.101','9.558',
"6",'9.057','9.047','9.025','9.031','9.163','9.266','9.377','9.482','9.540','9.596','9.628','9.638','9.627','9.637','9.619','9.612','9.580','9.583','9.555','9.541','9.503','9.465','9.441','9.409','9.434',
"7",'9.386','9.374','9.367','9.363','9.368','9.392','9.406','9.433','9.457','9.502','9.528','9.578','9.613','9.630','9.675','9.679','9.700','9.717','9.727','9.741','9.753','9.762','9.762','9.762','9.570',
"8",'9.765','9.760','9.757','9.738','9.715','9.693','9.692','9.679','9.654','9.648','9.639','9.617','9.606','9.579','9.569','9.567','9.558','9.566','9.576','9.609','9.602','9.589','9.586','9.599','9.640',
"9",'9.591','9.591','9.585','9.565','9.566','9.575','9.567','9.559','9.546','9.531','9.525','9.498','9.480','9.472','9.443','9.434','9.422','9.411','9.402','9.380','9.367','9.340','9.330','9.359','9.481',
"10",'9.384','9.379','9.399','9.430','9.462','9.490','9.507','9.512','9.539','9.554','9.569','9.589','9.605','9.652','9.672','9.681','9.701','9.721','9.745','9.762','9.782','9.795','9.801','9.819','9.606',
