'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.971','9.941','9.913','9.859','9.789','9.741','9.666','9.619','9.586','9.583','9.556','9.597','9.658','9.698','9.738','9.770','9.791','9.819','9.842','9.865','9.881','9.895','9.899','9.905','9.774'
'    2','9.909','9.922','9.922','9.934','9.937','9.944','9.954','9.962','9.952','9.939','9.915','9.887','9.869','9.853','9.823','9.794','9.776','9.762','9.745','9.730','9.707','9.689','9.687','9.678','9.845'
'    3','9.667','9.675','9.661','9.653','9.651','9.658','9.660','9.665','9.676','9.686','9.703','9.752','9.764','9.781','9.797','9.811','9.841','9.866','9.886','9.906','9.926','9.931','9.933','9.935','9.770'
'    4','9.941','9.946','9.924','9.913','9.906','9.910','9.911','9.912','9.909','9.908','9.905','9.891','9.878','9.852','9.826','9.805','9.781','9.768','9.740','9.705','9.689','9.634','9.605','9.560','9.826'
'    5','9.527','9.485','9.461','9.427','9.394','9.384','9.376','9.367','9.364','9.447','9.500','9.546','9.576','9.615','9.630','9.666','9.684','9.702','9.719','9.748','9.755','9.786','9.794','9.803','9.573'
'    6','9.811','9.815','9.815','9.827','9.830','9.847','9.870','9.886','9.894','9.900','9.909','9.918','9.916','9.932','9.931','9.952','9.955','9.968','9.990','0.004','0.006','0.014','0.010','0.012','9.917'
'    7','0.001','9.992','9.974','9.954','9.942','9.909','9.884','9.866','9.840','9.818','9.782','9.757','9.739','9.744','9.732','9.728','9.725','9.727','9.727','9.733','9.738','9.738','9.724','9.732','9.813'
'    8','9.728','9.727','9.724','9.726','9.725','9.729','9.739','9.739','9.757','9.775','9.766','9.758','9.747','9.736','9.700','9.667','9.627','9.588','9.546','9.496','9.458','9.428','9.400','9.412','9.654'
'    9','9.418','9.432','9.449','9.464','9.472','9.489','9.506','9.516','9.552','9.571','9.569','9.593','9.599','9.611','9.618','9.661','9.670','9.692','9.723','9.738','9.758','9.773','9.774','9.779','9.601'
'   10','9.782','9.785','9.776','9.775','9.772','9.761','9.731','9.710','9.666','9.635','9.598','9.572','9.534','9.495','9.455','9.433','9.410','9.390','9.379','9.376','9.375','9.383','9.392','9.394','9.566'
