'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','0.505','0.493','0.473','0.465','0.451','0.451','0.451','0.459','0.453','0.443','0.422','0.404','0.370','0.360','0.352','0.346','0.346','0.338','0.344','0.346','0.354','0.350','0.346','0.358','0.403'
'    2','0.344','0.340','0.336','0.330','0.332','0.334','0.348','0.360','0.368','0.366','0.364','0.346','0.338','0.333','0.326','0.323','0.332','0.338','0.341','0.346','0.356','0.358','0.354','0.358','0.345'
'    3','0.344','0.342','0.335','0.325','0.323','0.323','0.327','0.333','0.337','0.339','0.336','0.322','0.320','0.312','0.308','0.310','0.310','0.316','0.314','0.324','0.326','0.324','0.324','0.328','0.325'
'    4','0.321','0.315','0.313','0.321','0.323','0.324','0.331','0.343','0.343','0.351','0.348','0.338','0.329','0.318','0.314','0.317','0.326','0.338','0.342','0.352','0.354','0.354','0.350','0.354','0.334'
'    5','0.353','0.354','0.357','0.366','0.367','0.369','0.375','0.381','0.379','0.384','0.388','0.380','0.372','0.365','0.359','0.352','0.352','0.360','0.356','0.354','0.352','0.340','0.330','0.319','0.361'
'    6','0.291','0.280','0.259','0.245','0.241','0.231','0.233','0.229','0.239','0.239','0.240','0.229','0.216','0.209','0.207','0.197','0.211','0.227','0.228','0.227','0.231','0.230','0.233','0.227','0.233'
'    7','0.214','0.223','0.218','0.219','0.219','0.219','0.223','0.231','0.238','0.233','0.225','0.215','0.201','0.193','0.189','0.186','0.180','0.183','0.173','0.173','0.160','0.155','0.147','0.141','0.198'
'    8','0.129','0.118','0.100','0.088','0.080','0.070','0.070','0.086','0.091','0.090','0.087','0.075','0.070','0.065','0.059','0.054','0.052','0.049','0.046','0.043','0.040','0.033','0.023','0.016','0.068'
'    9','0.007','0.000','9.981','9.966','9.956','9.941','9.945','9.942','9.940','9.921','9.917','9.916','9.905','9.887','9.871','9.868','9.854','9.845','9.827','9.818','9.804','9.803','9.795','9.795','9.896'
'   10','9.795','9.791','9.776','9.769','9.757','9.749','9.747','9.751','9.747','9.745','9.739','9.722','9.704','9.702','9.699','9.689','9.690','9.700','9.694','9.700','9.697','9.696','9.692','9.697','9.727'
'   11','9.693','9.694','9.687','9.680','9.674','9.672','9.672','9.679','9.683','9.683','9.685','9.672','9.660','9.648','9.652','9.648','9.645','9.658','9.664','9.656','9.642','9.644','9.644','9.623','9.665'
'   12','9.610','9.580','9.574','9.559','9.548','9.535','9.529','9.533','9.527','9.518','9.513','9.488','9.471','9.443','9.435','9.436','9.437','9.443','9.461','9.469','9.479','9.499','9.517','9.529','9.506'
'   13','9.523','9.535','9.567','9.589','9.595','9.621','9.643','9.657','9.659','9.661','9.657','9.650','9.630','9.623','9.609','9.621','9.611','9.609','9.601','9.607','9.601','9.605','9.604','9.605','9.612'
'   14','9.597','9.601','9.597','9.607','9.607','9.613','9.609','9.621','9.633','9.645','9.651','9.641','9.623','9.609','9.597','9.594','9.591','9.591','9.581','9.577','9.561','9.565','9.553','9.551','9.601'
'   15','9.546','9.542','9.540','9.530','9.530','9.534','9.541','9.556','9.576','9.588','9.606','9.625','9.620','9.633','9.650','9.672','9.712','9.748','9.777','9.802','9.830','9.848','9.862','9.882','9.656'
'   16','9.893','9.901','9.921','9.941','9.943','9.958','9.975','0.005','0.012','0.030','0.032','0.047','0.040','0.052','0.056','0.066','0.074','0.096','0.092','0.107','0.115','0.112','0.100','0.100','0.028'
'   17','0.096','0.096','0.088','0.094','0.088','0.102','0.098','0.110','0.102','0.103','0.103','0.097','0.083','0.087','0.075','0.063','0.055','0.050','0.033','0.031','0.043','0.055','0.062','0.058','0.078'
'   18','0.063','0.051','0.059','0.040','0.031','0.031','9.993','9.967','9.942','9.913','9.895','9.874','9.824','9.779','9.753','9.728','9.717','9.709','9.696','9.665','9.646','9.619','9.629','9.632','9.844'
'   19','9.621','9.589','9.581','9.563','9.559','9.559','9.557','9.557','9.547','9.514','9.478','9.456','9.433','9.421','9.425','9.479','9.541','9.571','9.616','9.625','9.650','9.659','9.663','9.687','9.556'
'   20','9.692','9.697','9.702','9.703','9.708','9.724','9.728','9.736','9.748','9.770','9.768','9.773','9.761','9.750','9.731','9.721','9.704','9.680','9.670','9.665','9.640','9.624','9.595','9.588','9.703'
'   21','9.588','9.551','9.519','9.502','9.496','9.502','9.498','9.541','9.556','9.584','9.609','9.627','9.645','9.675','9.701','9.745','9.761','9.802','9.823','9.861','9.885','9.906','9.930','9.960','9.678'
'   22','9.978','9.998','0.020','0.036','0.054','0.081','0.105','0.134','0.150','0.180','0.199','0.218','0.223','0.248','0.268','0.296','0.315','0.354','0.370','0.394','0.410','0.440','0.458','0.472','0.225'
'   23','0.477','0.493','0.497','0.510','0.517','0.529','0.534','0.545','0.556','0.571','0.565','0.563','0.557','0.555','0.549','0.553','0.547','0.553','0.551','0.551','0.537','0.534','0.523','0.513','0.537'
'   24','0.494','0.486','0.480','0.478','0.460','0.446','0.444','0.428','0.416','0.418','0.406','0.414','0.405','0.389','0.370','0.366','0.370','0.390','0.402','0.400','0.416','0.438','0.450','0.464','0.426'
'   25','0.481','0.507','0.517','0.522','0.531','0.547','0.569','0.581','0.580','0.591','0.593','0.594','0.585','0.581','0.579','0.585','0.589','0.589','0.591','0.592','0.591','0.591','0.593','0.597','0.570'
'   26','0.593','0.600','0.593','0.583','0.573','0.577','0.578','0.594','0.597','0.599','0.591','0.591','0.581','0.563','0.562','0.564','0.565','0.575','0.573','0.573','0.561','0.551','0.543','0.533','0.576'
'   27','0.521','0.511','0.515','0.503','0.475','0.467','0.457','0.441','0.437','0.441','0.436','0.436','0.410','0.396','0.390','0.380','0.362','0.350','0.344','0.336','0.326','0.330','0.332','0.348','0.414'
'   28','0.369','0.371','0.369','0.379','0.387','0.411','0.431','0.459','0.463','0.479','0.494','0.507','0.508','0.515','0.523','0.527','0.537','0.535','0.536','0.534','0.521','0.530','0.501','0.481','0.474'
'   29','0.478','0.476','0.468','0.457','0.436','0.426','0.432','0.440','0.433','0.432','0.421','0.413','0.409','0.387','0.379','0.361','0.355','0.361','0.354','0.356','0.347','0.337','0.325','0.319','0.400'
'   30','0.308','0.292','0.284','0.274','0.258','0.254','0.237','0.228','0.224','0.218','0.224','0.206','0.182','0.154','0.158','0.144','0.119','0.112','0.086','0.064','0.054','0.036','0.016','0.004','0.172'
' Mean','0.097','0.094','0.091','0.088','0.084','0.087','0.089','0.098','0.099','0.102','0.100','0.095','0.082','0.075','0.072','0.073','0.075','0.082','0.083','0.085','0.084','0.086','0.083','0.085','0.087'
