"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'9.584','9.586','9.580','9.586','9.585','9.591','9.584','9.596','9.604','9.612','9.610','9.603','9.604','9.596','9.602','9.598','9.604','9.614','9.614','9.624','9.630','9.638','9.634','9.648','9.605',
"2",'9.648','9.658','9.658','9.659','9.668','9.676','9.684','9.701','9.714','9.718','9.719','9.729','9.729','9.725','9.727','9.732','9.739','9.751','9.765','9.781','9.796','9.811','9.811','9.821','9.726',
"3",'9.832','9.831','9.834','9.836','9.848','9.850','9.860','9.866','9.872','9.881','9.887','9.883','9.885','9.891','9.891','9.899','9.901','9.905','9.915','9.919','9.925','9.931','9.931','9.930','9.883',
"4",'9.927','9.925','9.915','9.903','9.901','9.893','9.883','9.887','9.887','9.879','9.880','9.864','9.838','9.800','9.764','9.748','9.738','9.733','9.718','9.716','9.702','9.685','9.673','9.656','9.813',
"5",'9.645','9.635','9.637','9.641','9.639','9.641','9.642','9.665','9.679','9.693','9.707','9.723','9.748','9.769','9.771','9.781','9.787','9.802','9.807','9.799','9.817','9.831','9.809','9.809','9.728',
"6",'9.797','9.791','9.774','9.780','9.774','9.772','9.767','9.760','9.757','9.731','9.713','9.690','9.699','9.688','9.667','9.649','9.641','9.626','9.614','9.607','9.598','9.577','9.551','9.513','9.689',
"7",'9.494','9.469','9.424','9.383','9.342','9.303','9.303','9.301','9.285','9.261','9.219','9.205','9.189','9.189','9.179','9.183','9.191','9.191','9.199','9.191','9.185','9.183','9.181','9.177','9.259',
"8",'9.166','9.147','9.135','9.107','9.099','9.085','9.066','9.066','9.059','9.042','9.052','9.050','9.035','9.008','8.980','8.971','8.944','8.913','8.902','8.884','8.855','8.841','8.850','8.860','9.005',
"9",'8.863','8.866','8.864','8.870','8.890','8.940','8.972','8.998','9.031','9.068','9.081','9.091','9.058','9.049','9.017','8.985','8.965','8.961','8.925','8.891','8.869','8.851','8.841','8.853','8.950',
"10",'8.864','8.917','8.971','9.039','9.063','9.091','9.087','9.103','9.096','9.087','9.072','9.030','9.011','8.980','8.936','8.935','8.920','8.929','8.951','8.968','8.994','9.014','9.016','9.038','9.005',
"11",'9.053','9.058','9.052','9.056','9.074','9.094','9.109','9.122','9.128','9.132','9.132','9.124','9.116','9.084','9.060','9.035','9.019','8.986','8.960','8.914','8.878','8.858','8.820','8.810','9.028',
"12",'8.826','8.836','8.850','8.846','8.836','8.840','8.838','8.854','8.870','8.884','8.904','8.923','8.935','8.954','8.960','8.980','9.016','9.065','9.080','9.094','9.102','9.118','9.122','9.112','8.952',
"13",'9.094','9.078','9.064','9.037','9.008','8.982','8.949','8.920','8.894','8.862','8.852','8.791','8.756','8.719','8.679','8.681','8.666','8.677','8.701','8.717','8.740','8.763','8.773','8.801','8.842',
"14",'8.817','8.832','8.837','8.843','8.845','8.871','8.893','8.919','8.967','9.009','9.039','9.091','9.115','9.151','9.173','9.203','9.212','9.227','9.241','9.271','9.281','9.287','9.275','9.293','9.070',
"15",'9.293','9.293','9.288','9.312','9.339','9.362','9.370','9.408','9.437','9.474','9.486','9.516','9.530','9.556','9.568','9.590','9.598','9.619','9.638','9.650','9.648','9.644','9.642','9.642','9.496',
"16",'9.631','9.618','9.613','9.596','9.596','9.590','9.586','9.584','9.558','9.554','9.569','9.575','9.571','9.569','9.571','9.579','9.584','9.593','9.602','9.619','9.635','9.665','9.673','9.688','9.601',
"17",'9.700','9.707','9.705','9.706','9.705','9.707','9.717','9.737','9.753','9.755','9.767','9.786','9.798','9.814','9.852','9.850','9.872','9.904','9.924','9.952','9.967','9.984','9.992','9.999','9.819',
"18",'0.009','0.003','0.003','0.003','0.004','0.008','0.005','0.023','0.025','0.025','0.036','0.046','0.048','0.050','0.052','0.048','0.044','0.058','0.062','0.063','0.072','0.084','0.090','0.088','0.040',
"19",'0.102','0.110','0.112','0.122','0.122','0.135','0.141','0.168','0.188','0.204','0.212','0.212','0.216','0.221','0.227','0.238','0.252','0.272','0.285','0.307','0.321','0.334','0.338','0.350','0.216',
"20",'0.364','0.367','0.357','0.362','0.369','0.365','0.369','0.383','0.390','0.402','0.390','0.383','0.368','0.368','0.353','0.339','0.338','0.353','0.346','0.353','0.359','0.365','0.369','0.363','0.366',
"21",'0.349','0.322','0.322','0.310','0.301','0.309','0.304','0.316','0.313','0.312','0.306','0.314','0.298','0.298','0.292','0.287','0.279','0.292','0.293','0.300','0.304','0.306','0.304','0.311','0.306',
