"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'0.038','0.024','9.992','9.972','9.954','9.951','9.940','9.930','9.921','9.902','9.894','9.874','9.848','9.828','9.812','9.803','9.799','9.796','9.786','9.792','9.789','9.788','9.780','9.776','9.875',
"2",'9.746','9.776','9.772','9.768','9.782','9.801','9.813','9.830','9.840','9.850','9.852','9.868','9.860','9.875','9.884','9.878','9.880','9.899','9.916','9.926','9.924','9.908','9.906','9.887','9.852',
"3",'9.876','9.863','9.854','9.826','9.796','9.792','9.786','9.776','9.764','9.760','9.756','9.746','9.740','9.740','9.760','9.771','9.780','9.786','9.787','9.790','9.808','9.806','9.809','9.818','9.791',
"4",'9.832','9.840','9.849','9.856','9.871','9.890','9.929','9.928','9.938','9.954','9.956','9.955','9.959','9.969','9.971','9.975','9.974','9.971','9.967','9.941','9.925','9.893','9.855','9.811','9.917',
"5",'9.779','9.713','9.649','9.601','9.563','9.503','9.469','9.437','9.459','9.473','9.483','9.497','9.493','9.493','9.513','9.506','9.521','9.530','9.549','9.533','9.499','9.499','9.467','9.453','9.528',
"6",'9.405','9.366','9.331','9.287','9.235','9.207','9.185','9.174','9.171','9.169','9.193','9.210','9.233','9.229','9.259','9.296','9.325','9.371','9.401','9.439','9.467','9.485','9.495','9.505','9.310',
"7",'9.521','9.507','9.515','9.517','9.516','9.531','9.534','9.553','9.565','9.589','9.597','9.609','9.629','9.631','9.637','9.635','9.631','9.635','9.630','9.629','9.625','9.621','9.601','9.587','9.585',
"8",'9.584','9.559','9.539','9.520','9.501','9.493','9.481','9.481','9.475','9.467','9.436','9.421','9.384','9.346','9.296','9.240','9.185','9.143','9.116','9.110','9.120','9.118','9.130','9.144','9.345',
"9",'9.160','9.198','9.244','9.296','9.368','9.466','9.548','9.628','9.691','9.753','9.795','9.833','9.875','9.897','9.923','9.953','9.985','0.009','0.025','0.033','0.041','0.047','0.043','0.035','9.744',
"10",'0.019','0.007','9.991','9.963','9.943','9.917','9.912','9.889','9.882','9.871','9.841','9.831','9.877','9.898','9.893','9.907','9.917','9.947','9.973','9.995','0.015','0.033','0.047','0.093','9.944',
"11",'0.095','0.107','0.109','0.115','0.121','0.141','0.157','0.167','0.165','0.169','0.167','0.161','0.157','0.133','0.121','0.107','0.097','0.091','0.083','0.071','0.053','0.045','0.031','0.019','0.112',
"12",'0.002','9.979','9.955','9.939','9.923','9.919','9.913','9.903','9.905','9.899','9.889','9.876','9.870','9.876','9.902','9.928','9.938','9.960','9.974','9.986','0.002','0.014','0.022','0.030','9.942',
"13",'0.036','0.042','0.048','0.051','0.060','0.076','0.094','0.108','0.114','0.106','0.094','0.082','0.058','0.040','0.022','0.002','9.996','9.998','9.986','9.970','9.954','9.938','9.912','9.896','0.028',
"14",'9.870','9.854','9.834','9.814','9.800','9.780','9.780','9.784','9.784','9.784','9.793','9.787','9.779','9.771','9.765','9.771','9.777','9.795','9.803','9.807','9.811','9.803','9.803','9.809','9.798',
"15",'9.808','9.806','9.806','9.814','9.818','9.826','9.836','9.844','9.842','9.852','9.836','9.832','9.822','9.810','9.802','9.796','9.790','9.792','9.784','9.772','9.764','9.754','9.734','9.714','9.802',
"16",'9.703','9.685','9.671','9.653','9.641','9.633','9.625','9.618','9.605','9.579','9.552','9.516','9.482','9.466','9.446','9.422','9.394','9.362','9.330','9.302','9.278','9.260','9.235','9.208','9.486',
"17",'9.165','9.127','9.113','9.085','9.065','9.057','9.055','9.043','9.049','9.055','9.064','9.070','9.060','9.058','9.054','9.038','9.040','9.048','9.046','9.064','9.062','9.068','9.076','9.084','9.069',
"18",'9.094','9.094','9.096','9.090','9.090','9.090','9.088','9.094','9.093','9.078','9.069','9.057','9.051','9.057','9.057','9.069','9.081','9.093','9.105','9.121','9.112','9.136','9.149','9.165','9.093',
"19",'9.184','9.202','9.216','9.226','9.242','9.264','9.294','9.322','9.352','9.376','9.392','9.402','9.428','9.442','9.456','9.480','9.501','9.522','9.545','9.574','9.594','9.606','9.618','9.630','9.411',
"20",'9.636','9.642','9.642','9.652','9.662','9.678','9.688','9.698','9.704','9.706','9.705','9.705','9.702','9.707','9.707','9.707','9.709','9.723','9.729','9.741','9.737','9.739','9.733','9.731','9.699',
"21",'9.739','9.744','9.744','9.752','9.754','9.772','9.787','9.798','9.807','9.812','9.814','9.807','9.803','9.807','9.803','9.807','9.821','9.839','9.817','9.855','9.857','9.849','9.857','9.863','9.805',
"22",'9.859','9.863','9.861','9.861','9.863','9.869','9.873','9.881','9.879','9.879','9.865','9.855','9.843','9.839','9.833','9.845','9.844','9.847','9.853','9.853','9.857','9.861','9.865','9.863','9.859',
"23",'9.861','9.859','9.863','9.871','9.886','9.906','9.917','9.943','9.963','9.965','9.971','9.975','9.977','9.979','9.983','9.987','9.995','0.005','0.022','0.029','0.023','0.029','0.029','0.024','9.961',
"24",'0.009','0.003','9.987','9.966','9.949','9.933','9.911','9.875','9.847','9.809','9.783','9.759','9.733','9.716','9.705','9.723','9.743','9.761','9.767','9.769','9.777','9.791','9.807','9.827','9.831',
"25",'9.833','9.835','9.831','9.837','9.837','9.849','9.853','9.861','9.859','9.863','9.856','9.853','9.852','9.830','9.842','9.842','9.842','9.866','9.892','9.924','9.946','9.971','9.996','0.018','9.875',
"26",'0.024','0.048','0.070','0.098','0.114','0.126','0.136','0.152','0.157','0.150','0.143','0.149','0.133','0.115','0.101','0.097','0.081','0.079','0.059','0.029','0.019','9.991','9.971','9.961','0.083',
"27",'9.937','9.927','9.890','9.858','9.844','9.846','9.842','9.846','9.852','9.856','9.849','9.847','9.851','9.841','9.827','9.829','9.828','9.837','9.829','9.827','9.819','9.830','9.827','9.826','9.849',
"28",'9.799','9.795','9.759','9.741','9.716','9.709','9.693','9.660','9.644','9.640','9.617','9.609','9.603','9.595','9.588','9.591','9.595','9.594','9.605','9.611','9.645','9.694','9.727','9.796','9.668',
"29",'9.814','9.856','9.884','9.920','9.952','0.004','0.042','0.092','0.144','0.134','0.208','0.243','0.267','0.287','0.307','0.328','0.367','0.393','0.411','0.427','0.433','0.449','0.459','0.473','0.204',
"30",'0.477','0.479','0.479','0.489','0.497','0.516','0.517','0.533','0.528','0.525','0.514','0.506','0.504','0.504','0.504','0.510','0.514','0.524','0.526','0.536','0.543','0.546','0.538','0.544','0.515',
"31",'0.543','0.537','0.535','0.539','0.543','0.549','0.555','0.561','0.567','0.571','0.559','0.545','0.535','0.525','0.503','0.487','0.489','0.495','0.511','0.505','0.511','0.515','0.517','0.513','0.530',
Mean,'0.038','0.024','9.992','9.972','9.954','9.951','9.940','9.930','9.921','9.902','9.894','9.874','9.848','9.828','9.812','9.803','9.799','9.796','9.786','9.792','9.789','9.788','9.780','9.776','9.875',
