"Day", 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,"Mean"
"1",'8.902','8.922','8.946','8.946','8.940','8.926','8.914','8.918','8.916','8.939','8.958','8.978','9.004','9.042','9.056','9.126','9.178','9.230','9.262','9.325','9.376','9.438','9.508','9.562','9.096',
"2",'9.604','9.650','9.689','9.758','9.785','9.833','9.880','9.908','9.936','9.961','9.979','0.002','0.018','0.020','0.027','0.028','0.028','0.028','0.016','9.994','9.982','9.975','9.976','9.976','9.919',
"3",'9.982','9.989','9.999','9.997','9.999','0.011','0.019','0.027','0.040','0.055','0.058','0.057','0.052','0.057','0.055','0.061','0.057','0.052','0.041','0.029','0.005','0.012','0.007','0.015','0.028',
"4",'0.011','0.001','9.991','9.969','9.955','9.946','9.943','9.945','9.939','9.931','9.932','9.922','9.910','9.904','9.916','9.904','9.904','9.900','9.910','9.926','9.913','9.922','9.932','9.944','9.936',
"5",'9.954','9.945','9.966','9.978','9.990','9.981','9.982','9.994','9.996','0.008','9.996','9.971','9.951','9.942','9.925','9.915','9.908','9.915','9.888','9.880','9.849','9.838','9.830','9.817','9.934',
"6",'9.793','9.767','9.725','9.679','9.644','9.617','9.592','9.575','9.542','9.513','9.484','9.424','9.346','9.246','9.186','9.241','9.360','9.398','9.467','9.510','9.544','9.570','9.593','9.610','9.518',
"7",'9.618','9.625','9.618','9.602','9.578','9.558','9.520','9.487','9.445','9.382','9.304','9.235','9.173','9.129','9.100','9.104','9.160','9.212','9.257','9.305','9.375','9.404','9.464','9.493','9.381',
"8",'9.527','9.547','9.556','9.557','9.571','9.571','9.579','9.584','9.610','9.625','9.637','9.657','9.672','9.694','9.717','9.753','9.787','9.814','9.837','9.858','9.858','9.884','9.868','9.868','9.693',
"9",'9.858','9.853','9.867','9.894','9.922','9.959','9.982','0.012','0.052','0.104','0.152','0.204','0.206','0.232','0.252','0.306','0.290','0.308','0.308','0.324','0.314','0.282','0.258','0.248','0.133',
"10",'0.246','0.230','0.208','0.192','0.183','0.162','0.144','0.130','0.112','0.104','0.089','0.063','0.015','0.005','9.989','9.983','0.001','0.033','0.047','0.069','0.079','0.105','0.118','0.139','0.102',
"11",'0.167','0.171','0.191','0.197','0.195','0.205','0.205','0.221','0.241','0.249','0.252','0.266','0.248','0.244','0.236','0.242','0.226','0.232','0.222','0.214','0.200','0.200','0.194','0.198','0.217',
"12",'0.181','0.173','0.175','0.167','0.163','0.169','0.179','0.189','0.213','0.225','0.251','0.285','0.297','0.305','0.324','0.348','0.365','0.391','0.395','0.409','0.425','0.443','0.449','0.450','0.290',
"13",'0.447','0.443','0.435','0.431','0.423','0.413','0.399','0.391','0.379','0.361','0.352','0.330','0.294','0.260','0.232','0.214','0.196','0.184','0.172','0.152','0.132','0.110','0.090','0.072','0.288',
"14",'0.047','0.026','0.005','9.981','9.979','9.982','9.975','9.979','9.983','9.966','9.966','9.976','9.964','9.956','9.944','9.939','9.930','9.937','9.934','9.934','9.933','9.936','9.938','9.942','9.965',
"15",'9.944','9.950','9.946','9.950','9.954','9.965','9.978','9.990','0.008','0.018','0.030','0.042','0.052','0.056','0.056','0.070','0.084','0.102','0.114','0.135','0.146','0.166','0.182','0.192','0.047',
"16",'0.208','0.210','0.218','0.224','0.238','0.254','0.268','0.289','0.301','0.314','0.330','0.338','0.336','0.340','0.340','0.350','0.352','0.370','0.383','0.392','0.384','0.388','0.386','0.380','0.316',
"17",'0.371','0.375','0.359','0.361','0.351','0.345','0.335','0.329','0.335','0.337','0.327','0.325','0.311','0.306','0.297','0.289','0.288','0.287','0.289','0.291','0.291','0.297','0.285','0.287','0.319',
"18",'0.273','0.262','0.246','0.228','0.215','0.208','0.200','0.194','0.190','0.182','0.157','0.143','0.117','0.081','0.067','0.057','0.043','0.017','0.011','9.977','9.947','9.891','9.817','9.830','0.098',
"19",'9.811','9.783','9.753','9.705','9.687','9.649','9.609','9.555','9.535','9.505','9.521','9.507','9.489','9.486','9.475','9.467','9.465','9.515','9.509','9.513','9.517','9.533','9.540','9.569','9.571',
"20",'9.565','9.591','9.621','9.667','9.693','9.803','9.859','9.933','9.991','9.995','9.995','9.935','9.861','9.809','9.753','9.699','9.611','9.537','9.503','9.473','9.447','9.409','9.452','9.471','9.695',
"21",'9.477','9.467','9.472','9.465','9.449','9.455','9.467','9.467','9.473','9.471','9.474','9.477','9.440','9.438','9.447','9.463','9.466','9.499','9.521','9.561','9.585','9.603','9.630','9.646','9.496',
"22",'9.665','9.673','9.669','9.685','9.677','9.689','9.685','9.657','9.631','9.608','9.547','9.509','9.421','9.339','9.251','9.173','9.111','9.072','9.023','9.005','9.001','9.023','9.019','9.009','9.381',
"23",'9.056','9.048','9.098','9.094','9.094','9.102','9.112','9.098','9.090','9.118','9.129','9.191','9.193','9.249','9.267','9.341','9.375','9.411','9.457','9.488','9.509','9.529','9.545','9.549','9.256',
"24",'9.541','9.527','9.489','9.441','9.415','9.334','9.269','9.205','9.121','9.067','9.010','8.956','8.912','8.936','8.912','8.888','8.866','8.878','8.879','8.892','8.894','8.904','8.907','8.948','9.091',
"25",'8.934','8.968','8.970','9.006','9.006','9.032','9.062','9.118','9.114','9.158','9.188','9.219','9.217','9.193','9.185','9.183','9.201','9.241','9.239','9.211','9.167','9.091','9.037','8.959','9.112',
"26",'8.885','8.837','8.985','9.043','9.057','9.069','9.075','9.111','9.147','9.203','9.251','9.283','9.327','9.361','9.393','9.407','9.415','9.417','9.397','9.373','9.331','9.271','9.183','9.069','9.204',
"27",'8.925','8.728','8.552','8.450','8.382','8.326','8.350','8.408','8.496','8.604','8.705','8.779','8.869','8.955','9.013','9.077','9.125','9.171','9.207','9.233','9.255','9.278','9.291','9.309','8.854',
"28",'9.323','9.345','9.349','9.353','9.355','9.359','9.373','9.385','9.401','9.401','9.407','9.403','9.393','9.389','9.383','9.393','9.393','9.409','9.431','9.445','9.451','9.457','9.465','9.449','9.396',
Mean,'8.902','8.922','8.946','8.946','8.940','8.926','8.914','8.918','8.916','8.939','8.958','8.978','9.004','9.042','9.056','9.126','9.178','9.230','9.262','9.325','9.376','9.438','9.508','9.562','9.096',
