'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.415','9.413','9.411','9.415','9.417','9.425','9.429','9.437','9.439','9.439','9.441','9.449','9.449','9.453','9.453','9.463','9.465','9.463','9.469','9.477','9.479','9.485','9.493','9.501','9.449'
'    2','9.507','9.506','9.505','9.511','9.515','9.528','9.539','9.549','9.553','9.553','9.547','9.549','9.555','9.571','9.573','9.575','9.592','9.609','9.626','9.636','9.644','9.646','9.680','9.684','9.573'
'    3','9.692','9.702','9.712','9.722','9.732','9.746','9.772','9.786','9.810','9.821','9.829','9.846','9.860','9.882','9.906','9.930','9.956','9.976','9.986','0.014','0.032','0.041','0.048','0.052','9.869'
'    4','0.058','0.058','0.068','0.076','0.068','0.069','0.070','0.064','0.066','0.060','0.041','0.039','0.021','0.023','9.999','9.991','9.979','9.954','9.935','9.914','9.889','9.863','9.842','9.835','9.999'
'    5','9.825','9.816','9.814','9.820','9.814','9.821','9.826','9.830','9.832','9.843','9.852','9.852','9.859','9.870','9.861','9.851','9.837','9.829','9.816','9.815','9.812','9.816','9.815','9.820','9.831'
'    6','9.799','9.798','9.796','9.798','9.792','9.802','9.826','9.856','9.877','9.898','9.915','9.927','9.943','9.965','9.985','0.007','0.023','0.041','0.067','0.101','0.117','0.144','0.159','0.170','9.950'
'    7','0.185','0.195','0.201','0.214','0.219','0.228','0.234','0.241','0.247','0.249','0.243','0.244','0.241','0.246','0.238','0.238','0.244','0.248','0.262','0.268','0.282','0.293','0.286','0.282','0.243'
'    8','0.278','0.272','0.263','0.268','0.264','0.252','0.251','0.244','0.244','0.244','0.244','0.239','0.226','0.221','0.206','0.185','0.180','0.173','0.164','0.162','0.156','0.160','0.163','0.150','0.217'
'    9','0.134','0.124','0.101','0.095','0.085','0.087','0.079','0.084','0.076','0.068','0.064','0.066','0.056','0.055','0.038','0.024','0.016','0.017','0.018','0.018','0.018','0.019','0.008','9.990','0.056'
'   10','9.978','9.971','9.962','9.948','9.942','9.940','9.952','9.956','9.958','9.948','9.933','9.924','9.916','9.904','9.878','9.861','9.840','9.824','9.808','9.819','9.810','9.814','9.810','9.791','9.895'
'   11','9.776','9.761','9.770','9.771','9.776','9.778','9.793','9.810','9.828','9.846','9.865','9.866','9.862','9.857','9.839','9.839','9.845','9.851','9.851','9.848','9.855','9.856','9.841','9.845','9.826'
'   12','9.847','9.821','9.820','9.781','9.788','9.783','9.798','9.795','9.799','9.799','9.779','9.788','9.782','9.792','9.784','9.777','9.784','9.775','9.774','9.777','9.778','9.773','9.776','9.779','9.790'
'   13','9.775','9.776','9.773','9.778','9.779','9.780','9.775','9.778','9.772','9.780','9.758','9.755','9.748','9.744','9.738','9.725','9.730','9.736','9.728','9.736','9.730','9.719','9.718','9.722','9.752'
'   14','9.715','9.712','9.702','9.705','9.706','9.710','9.714','9.724','9.727','9.736','9.738','9.742','9.745','9.750','9.756','9.768','9.773','9.784','9.800','9.816','9.848','9.856','9.870','9.889','9.762'
'   15','9.901','9.916','9.928','9.944','9.960','9.976','9.988','0.010','0.018','0.030','0.030','0.034','0.048','0.048','0.045','0.039','0.036','0.048','0.049','0.054','0.068','0.066','0.064','0.058','0.015'
'   16','0.043','0.031','0.012','9.996','9.986','9.994','9.980','9.978','9.966','9.957','9.950','9.948','9.948','9.938','9.941','9.924','9.927','9.941','9.944','9.958','9.985','0.002','0.010','0.026','9.974'
'   17','0.024','0.030','0.034','0.038','0.047','0.069','0.078','0.084','0.106','0.124','0.135','0.144','0.140','0.140','0.145','0.136','0.136','0.126','0.115','0.108','0.104','0.104','0.110','0.102','0.099'
'   18','0.086','0.056','0.046','0.045','0.032','0.030','0.026','0.011','0.008','0.008','0.012','0.007','9.991','9.981','9.971','9.973','9.961','9.973','9.981','9.993','0.005','0.008','0.009','0.007','0.009'
