'     ','    1','    2','    3','    4','    5','    6','    7','    8','    9','   10','   11','   12','   13','   14','   15','   16','   17','   18','   19','   20','   21','   22','   23','   24',' Mean'
'    1','9.905','9.919','9.921','9.919','9.919','9.923','9.927','9.934','9.945','9.943','9.937','9.928','9.908','9.908','9.900','9.904','9.903','9.908','9.918','9.926','9.928','9.926','9.914','9.896','9.919'
'    2','9.887','9.859','9.853','9.845','9.819','9.799','9.778','9.765','9.765','9.749','9.762','9.748','9.680','9.641','9.622','9.608','9.578','9.560','9.542','9.530','9.502','9.482','9.452','9.418','9.677'
'    3','9.424','9.438','9.450','9.466','9.460','9.460','9.462','9.452','9.440','9.454','9.447','9.455','9.435','9.410','9.387','9.363','9.343','9.323','9.311','9.311','9.363','9.409','9.435','9.475','9.416'
'    4','9.485','9.495','9.501','9.507','9.502','9.511','9.521','9.523','9.535','9.543','9.543','9.555','9.565','9.569','9.577','9.589','9.599','9.616','9.625','9.645','9.665','9.697','9.713','9.747','9.576'
'    5','9.767','9.789','9.817','9.835','9.861','9.877','9.903','9.941','9.965','9.985','9.997','0.017','0.035','0.031','0.037','0.063','0.073','0.081','0.087','0.093','0.097','0.109','0.111','0.111','9.987'
'    6','0.110','0.108','0.108','0.094','0.090','0.078','0.054','0.028','0.016','9.984','9.973','9.929','9.855','9.827','9.793','9.801','9.735','9.738','9.709','9.697','9.731','9.751','9.761','9.773','9.906'
'    7','9.785','9.782','9.784','9.776','9.744','9.714','9.700','9.682','9.660','9.638','9.603','9.549','9.495','9.455','9.419','9.401','9.389','9.395','9.411','9.417','9.411','9.417','9.435','9.447','9.563'
'    8','9.449','9.461','9.468','9.461','9.459','9.465','9.465','9.477','9.485','9.495','9.491','9.493','9.477','9.471','9.475','9.486','9.485','9.497','9.495','9.509','9.521','9.540','9.545','9.551','9.488'
'    9','9.561','9.569','9.577','9.585','9.595','9.603','9.617','9.633','9.655','9.671','9.672','9.682','9.677','9.684','9.686','9.670','9.646','9.612','9.572','9.512','9.456','9.390','9.324','9.254','9.579'
'   10','9.191','9.155','9.131','9.179','9.179','9.197','9.197','9.201','9.217','9.221','9.234','9.261','9.270','9.310','9.349','9.352','9.358','9.388','9.382','9.380','9.364','9.318','9.304','9.316','9.269'
